<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	01:00:00	1.12147	1.12218	1.12145	1.12186	531	0	6
2020.01.02	02:00:00	1.12186	1.12188	1.12155	1.12180	322	0	6
2020.01.02	03:00:00	1.12180	1.12242	1.12178	1.12207	578	0	6
2020.01.02	04:00:00	1.12206	1.12243	1.12182	1.12220	369	0	6
2020.01.02	05:00:00	1.12222	1.12228	1.12121	1.12130	438	0	6
2020.01.02	06:00:00	1.12131	1.12140	1.12006	1.12009	706	0	6
2020.01.02	07:00:00	1.12011	1.12041	1.12007	1.12041	524	0	6
2020.01.02	08:00:00	1.12040	1.12075	1.12036	1.12075	518	0	6
2020.01.02	09:00:00	1.12077	1.12099	1.12041	1.12095	1318	0	3
2020.01.02	10:00:00	1.12096	1.12134	1.12049	1.12117	1558	0	3
2020.01.02	11:00:00	1.12116	1.12137	1.12009	1.12028	1308	0	3
2020.01.02	12:00:00	1.12029	1.12035	1.11925	1.11980	1014	0	3
2020.01.02	13:00:00	1.11981	1.12019	1.11839	1.11845	1570	0	3
2020.01.02	14:00:00	1.11845	1.11942	1.11828	1.11927	1372	0	3
2020.01.02	15:00:00	1.11926	1.11968	1.11894	1.11960	1472	0	3
2020.01.02	16:00:00	1.11957	1.11962	1.11698	1.11738	2487	0	3
2020.01.02	17:00:00	1.11738	1.12021	1.11706	1.12004	3109	0	3
2020.01.02	18:00:00	1.12003	1.12027	1.11650	1.11660	2701	0	3
2020.01.02	19:00:00	1.11660	1.11715	1.11632	1.11697	1377	0	3
2020.01.02	20:00:00	1.11699	1.11721	1.11634	1.11700	1081	0	3
2020.01.02	21:00:00	1.11699	1.11700	1.11641	1.11660	901	0	3
2020.01.02	22:00:00	1.11660	1.11714	1.11656	1.11690	843	0	3
2020.01.02	23:00:00	1.11691	1.11732	1.11687	1.11719	333	0	5
2020.01.03	00:00:00	1.11713	1.11726	1.11682	1.11714	311	0	6
2020.01.03	01:00:00	1.11712	1.11731	1.11699	1.11705	263	0	6
2020.01.03	02:00:00	1.11706	1.11757	1.11695	1.11751	450	0	5
2020.01.03	03:00:00	1.11752	1.11782	1.11720	1.11732	645	0	4
2020.01.03	04:00:00	1.11733	1.11772	1.11717	1.11722	1069	0	4
2020.01.03	05:00:00	1.11723	1.11733	1.11693	1.11718	769	0	4
2020.01.03	06:00:00	1.11719	1.11748	1.11683	1.11697	535	0	5
2020.01.03	07:00:00	1.11698	1.11702	1.11639	1.11662	725	0	5
2020.01.03	08:00:00	1.11661	1.11693	1.11638	1.11689	632	0	5
2020.01.03	09:00:00	1.11690	1.11712	1.11518	1.11528	2277	0	3
2020.01.03	10:00:00	1.11529	1.11602	1.11503	1.11509	2016	0	3
2020.01.03	11:00:00	1.11510	1.11518	1.11397	1.11399	1984	0	3
2020.01.03	12:00:00	1.11400	1.11432	1.11305	1.11358	2126	0	3
2020.01.03	13:00:00	1.11357	1.11357	1.11247	1.11298	1731	0	4
2020.01.03	14:00:00	1.11298	1.11424	1.11279	1.11389	1488	0	3
2020.01.03	15:00:00	1.11388	1.11485	1.11370	1.11378	1705	0	3
2020.01.03	16:00:00	1.11378	1.11538	1.11350	1.11536	1997	0	3
2020.01.03	17:00:00	1.11595	1.11671	1.11542	1.11631	3255	0	3
2020.01.03	18:00:00	1.11631	1.11797	1.11621	1.11717	1998	0	3
2020.01.03	19:00:00	1.11717	1.11737	1.11677	1.11719	1040	0	3
2020.01.03	20:00:00	1.11718	1.11729	1.11658	1.11665	1186	0	3
2020.01.03	21:00:00	1.11662	1.11679	1.11610	1.11671	1174	0	3
2020.01.03	22:00:00	1.11670	1.11670	1.11597	1.11612	528	0	3
2020.01.03	23:00:00	1.11611	1.11617	1.11515	1.11579	472	0	5
2020.01.06	00:00:00	1.11652	1.11652	1.11587	1.11594	251	0	3
2020.01.06	01:00:00	1.11596	1.11673	1.11591	1.11602	1148	0	5
2020.01.06	02:00:00	1.11602	1.11681	1.11598	1.11632	849	0	5
2020.01.06	03:00:00	1.11633	1.11651	1.11611	1.11626	742	0	5
2020.01.06	04:00:00	1.11626	1.11667	1.11623	1.11651	421	0	4
2020.01.06	05:00:00	1.11653	1.11707	1.11651	1.11655	598	0	4
2020.01.06	06:00:00	1.11656	1.11659	1.11614	1.11640	447	0	4
2020.01.06	07:00:00	1.11640	1.11648	1.11604	1.11620	324	0	5
2020.01.06	08:00:00	1.11620	1.11622	1.11569	1.11605	636	0	4
2020.01.06	09:00:00	1.11605	1.11664	1.11595	1.11644	1431	0	3
2020.01.06	10:00:00	1.11646	1.11797	1.11631	1.11784	1928	0	3
2020.01.06	11:00:00	1.11785	1.11933	1.11749	1.11931	1941	0	4
