<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	01:00:00	1.32482	1.32607	1.32480	1.32498	963	0	7
2020.01.02	02:00:00	1.32500	1.32621	1.32469	1.32564	1458	0	7
2020.01.02	03:00:00	1.32563	1.32658	1.32531	1.32556	1947	0	7
2020.01.02	04:00:00	1.32553	1.32558	1.32443	1.32484	1263	0	7
2020.01.02	05:00:00	1.32485	1.32493	1.32023	1.32092	2105	0	7
2020.01.02	06:00:00	1.32090	1.32176	1.32025	1.32072	1779	0	7
2020.01.02	07:00:00	1.32071	1.32138	1.32016	1.32132	2108	0	7
2020.01.02	08:00:00	1.32133	1.32239	1.32059	1.32218	1816	0	7
2020.01.02	09:00:00	1.32228	1.32291	1.32090	1.32192	2671	0	5
2020.01.02	10:00:00	1.32193	1.32303	1.32090	1.32212	3305	0	5
2020.01.02	11:00:00	1.32211	1.32270	1.32098	1.32139	1775	0	5
2020.01.02	12:00:00	1.32139	1.32144	1.32051	1.32110	1581	0	5
2020.01.02	13:00:00	1.32110	1.32113	1.31886	1.31995	2255	0	5
2020.01.02	14:00:00	1.31992	1.32125	1.31903	1.31966	2224	0	5
2020.01.02	15:00:00	1.31963	1.31969	1.31712	1.31762	3050	0	5
2020.01.02	16:00:00	1.31758	1.31774	1.31353	1.31470	3115	0	5
2020.01.02	17:00:00	1.31470	1.31942	1.31455	1.31887	3995	0	5
2020.01.02	18:00:00	1.31891	1.31891	1.31232	1.31268	3830	0	5
2020.01.02	19:00:00	1.31264	1.31342	1.31150	1.31341	3158	0	5
2020.01.02	20:00:00	1.31342	1.31435	1.31245	1.31396	2648	0	5
2020.01.02	21:00:00	1.31396	1.31403	1.31279	1.31287	2234	0	5
2020.01.02	22:00:00	1.31286	1.31453	1.31286	1.31384	1999	0	5
2020.01.02	23:00:00	1.31385	1.31418	1.31351	1.31359	743	0	6
2020.01.03	00:00:00	1.31361	1.31418	1.31312	1.31334	465	0	61
2020.01.03	01:00:00	1.31320	1.31480	1.31312	1.31466	1237	0	7
2020.01.03	02:00:00	1.31465	1.31567	1.31397	1.31551	1332	0	5
2020.01.03	03:00:00	1.31551	1.31598	1.31344	1.31373	1786	0	5
2020.01.03	04:00:00	1.31373	1.31433	1.31228	1.31274	2482	0	5
2020.01.03	05:00:00	1.31275	1.31377	1.31264	1.31359	2360	0	6
2020.01.03	06:00:00	1.31357	1.31370	1.31241	1.31255	1361	0	5
2020.01.03	07:00:00	1.31255	1.31290	1.31152	1.31210	1903	0	5
2020.01.03	08:00:00	1.31210	1.31235	1.31049	1.31234	1594	0	5
2020.01.03	09:00:00	1.31233	1.31233	1.30829	1.30908	3352	0	5
2020.01.03	10:00:00	1.30907	1.31178	1.30861	1.30975	4328	0	5
2020.01.03	11:00:00	1.30970	1.31005	1.30664	1.30676	4681	0	5
2020.01.03	12:00:00	1.30680	1.30879	1.30678	1.30782	3424	0	5
2020.01.03	13:00:00	1.30782	1.30786	1.30531	1.30585	2422	0	5
2020.01.03	14:00:00	1.30585	1.30823	1.30539	1.30798	2739	0	5
2020.01.03	15:00:00	1.30797	1.31095	1.30717	1.30721	2256	0	5
2020.01.03	16:00:00	1.30722	1.30897	1.30676	1.30693	2711	0	5
2020.01.03	17:00:00	1.30745	1.30939	1.30689	1.30712	3452	0	5
2020.01.03	18:00:00	1.30710	1.30987	1.30692	1.30897	2128	0	5
2020.01.03	19:00:00	1.30896	1.30934	1.30801	1.30878	2236	0	5
2020.01.03	20:00:00	1.30880	1.30897	1.30723	1.30841	2158	0	5
2020.01.03	21:00:00	1.30842	1.30846	1.30742	1.30784	2921	0	5
2020.01.03	22:00:00	1.30787	1.30787	1.30716	1.30730	1147	0	7
2020.01.03	23:00:00	1.30727	1.30770	1.30704	1.30768	929	0	5
2020.01.06	00:00:00	1.30828	1.30841	1.30647	1.30670	341	0	19
