<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	01:00:00	1.29845	1.29845	1.29746	1.29756	456	0	10
2020.01.02	02:00:00	1.29755	1.29788	1.29744	1.29771	474	0	10
2020.01.02	03:00:00	1.29771	1.29771	1.29721	1.29733	703	0	10
2020.01.02	04:00:00	1.29733	1.29791	1.29706	1.29790	357	0	10
2020.01.02	05:00:00	1.29786	1.29873	1.29784	1.29867	505	0	10
2020.01.02	06:00:00	1.29868	1.29921	1.29850	1.29919	295	0	10
2020.01.02	07:00:00	1.29918	1.29954	1.29887	1.29889	591	0	10
2020.01.02	08:00:00	1.29892	1.29892	1.29832	1.29849	418	0	10
2020.01.02	09:00:00	1.29847	1.29919	1.29796	1.29861	1360	0	5
2020.01.02	10:00:00	1.29861	1.29868	1.29707	1.29725	1439	0	5
2020.01.02	11:00:00	1.29726	1.29830	1.29683	1.29807	1291	0	6
2020.01.02	12:00:00	1.29807	1.29950	1.29799	1.29916	1251	0	5
2020.01.02	13:00:00	1.29913	1.30079	1.29908	1.30038	1525	0	5
2020.01.02	14:00:00	1.30038	1.30076	1.29899	1.29920	1766	0	5
2020.01.02	15:00:00	1.29925	1.30047	1.29882	1.29927	1961	0	5
2020.01.02	16:00:00	1.29933	1.30062	1.29915	1.29969	2528	0	5
2020.01.02	17:00:00	1.29968	1.29989	1.29782	1.29784	2782	0	5
2020.01.02	18:00:00	1.29784	1.30039	1.29753	1.29978	2264	0	5
2020.01.02	19:00:00	1.29980	1.30038	1.29921	1.29962	1430	0	6
2020.01.02	20:00:00	1.29960	1.29989	1.29905	1.29910	1265	0	6
2020.01.02	21:00:00	1.29911	1.29942	1.29844	1.29901	1611	0	5
2020.01.02	22:00:00	1.29898	1.29911	1.29848	1.29870	1337	0	5
2020.01.02	23:00:00	1.29871	1.29901	1.29854	1.29859	1178	0	5
2020.01.03	00:00:00	1.29834	1.29852	1.29793	1.29828	144	0	5
2020.01.03	01:00:00	1.29828	1.29856	1.29828	1.29838	266	0	8
2020.01.03	02:00:00	1.29839	1.29866	1.29822	1.29834	619	0	5
2020.01.03	03:00:00	1.29835	1.29851	1.29771	1.29821	1142	0	6
2020.01.03	04:00:00	1.29822	1.29890	1.29753	1.29883	1565	0	5
2020.01.03	05:00:00	1.29884	1.29988	1.29883	1.29929	1166	0	7
2020.01.03	06:00:00	1.29926	1.29958	1.29888	1.29930	840	0	7
2020.01.03	07:00:00	1.29929	1.29991	1.29927	1.29944	766	0	6
2020.01.03	08:00:00	1.29944	1.29957	1.29845	1.29864	456	0	5
2020.01.03	09:00:00	1.29864	1.29960	1.29622	1.29638	2717	0	5
2020.01.03	10:00:00	1.29638	1.29837	1.29606	1.29712	2334	0	5
2020.01.03	11:00:00	1.29713	1.29864	1.29697	1.29833	1980	0	5
2020.01.03	12:00:00	1.29825	1.29893	1.29804	1.29869	1831	0	7
2020.01.03	13:00:00	1.29870	1.30047	1.29851	1.30021	2074	0	5
2020.01.03	14:00:00	1.30019	1.30048	1.29909	1.29929	1746	0	5
2020.01.03	15:00:00	1.29929	1.29951	1.29720	1.29906	1770	0	5
2020.01.03	16:00:00	1.29906	1.29959	1.29817	1.29915	1926	0	5
2020.01.03	17:00:00	1.29912	1.29963	1.29794	1.29814	2417	0	5
2020.01.03	18:00:00	1.29821	1.29869	1.29760	1.29851	1730	0	5
2020.01.03	19:00:00	1.29853	1.29928	1.29827	1.29838	1350	0	5
2020.01.03	20:00:00	1.29840	1.29944	1.29840	1.29878	1723	0	5
2020.01.03	21:00:00	1.29878	1.29984	1.29878	1.29912	1335	0	5
2020.01.03	22:00:00	1.29912	1.29960	1.29884	1.29886	1740	0	5
2020.01.03	23:00:00	1.29887	1.30069	1.29857	1.30027	1077	0	5
2020.01.06	00:00:00	1.29855	1.29876	1.29854	1.29870	154	0	30
2020.01.06	01:00:00	1.29870	1.29898	1.29854	1.29890	697	0	8
2020.01.06	02:00:00	1.29887	1.29887	1.29764	1.29792	1099	0	5
2020.01.06	03:00:00	1.29793	1.29816	1.29773	1.29808	948	0	5
2020.01.06	04:00:00	1.29810	1.29823	1.29771	1.29779	465	0	7
