<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	01:00:00	108.679	108.723	108.603	108.722	663	0	6
2020.01.02	02:00:00	108.720	108.734	108.680	108.699	428	0	6
2020.01.02	03:00:00	108.703	108.728	108.636	108.670	745	0	6
2020.01.02	04:00:00	108.666	108.687	108.653	108.675	446	0	6
2020.01.02	05:00:00	108.679	108.710	108.670	108.704	312	0	6
2020.01.02	06:00:00	108.705	108.741	108.698	108.740	391	0	6
2020.01.02	07:00:00	108.739	108.755	108.731	108.741	442	0	6
2020.01.02	08:00:00	108.742	108.747	108.709	108.709	272	0	6
2020.01.02	09:00:00	108.709	108.798	108.692	108.783	980	0	4
2020.01.02	10:00:00	108.784	108.817	108.763	108.777	1293	0	4
2020.01.02	11:00:00	108.778	108.842	108.774	108.836	912	0	5
2020.01.02	12:00:00	108.836	108.864	108.789	108.805	798	0	5
2020.01.02	13:00:00	108.804	108.810	108.768	108.770	640	0	5
2020.01.02	14:00:00	108.770	108.805	108.755	108.784	485	0	5
2020.01.02	15:00:00	108.785	108.787	108.654	108.690	955	0	4
2020.01.02	16:00:00	108.691	108.747	108.635	108.672	1305	0	3
2020.01.02	17:00:00	108.672	108.680	108.210	108.270	2855	0	3
2020.01.02	18:00:00	108.269	108.442	108.258	108.432	1347	0	3
2020.01.02	19:00:00	108.432	108.552	108.428	108.525	1171	0	3
2020.01.02	20:00:00	108.524	108.557	108.495	108.520	992	0	4
2020.01.02	21:00:00	108.520	108.570	108.508	108.547	860	0	3
2020.01.02	22:00:00	108.546	108.558	108.491	108.553	569	0	4
2020.01.02	23:00:00	108.554	108.555	108.526	108.548	277	0	5
2020.01.03	00:00:00	108.567	108.569	108.513	108.543	421	0	3
2020.01.03	01:00:00	108.544	108.628	108.539	108.544	485	0	4
2020.01.03	02:00:00	108.540	108.561	108.389	108.404	883	0	4
2020.01.03	03:00:00	108.407	108.440	108.163	108.201	1750	0	4
2020.01.03	04:00:00	108.202	108.240	107.999	108.059	3492	0	3
2020.01.03	05:00:00	108.058	108.182	108.003	108.180	1899	0	5
2020.01.03	06:00:00	108.181	108.229	108.124	108.130	1230	0	4
2020.01.03	07:00:00	108.131	108.162	108.077	108.121	1510	0	4
2020.01.03	08:00:00	108.121	108.151	108.078	108.140	749	0	4
2020.01.03	09:00:00	108.140	108.140	107.913	107.946	2582	0	3
2020.01.03	10:00:00	107.945	108.070	107.929	107.991	2466	0	4
2020.01.03	11:00:00	107.991	108.068	107.919	108.066	1976	0	4
2020.01.03	12:00:00	108.064	108.128	108.015	108.049	2482	0	3
2020.01.03	13:00:00	108.047	108.114	107.996	108.027	1767	0	4
2020.01.03	14:00:00	108.030	108.155	108.021	108.085	1634	0	4
2020.01.03	15:00:00	108.087	108.161	108.087	108.155	1752	0	3
2020.01.03	16:00:00	108.154	108.266	108.141	108.220	2372	0	3
2020.01.03	17:00:00	108.143	108.178	107.995	108.037	3664	0	3
2020.01.03	18:00:00	108.037	108.039	107.915	107.945	1609	0	3
2020.01.03	19:00:00	107.944	107.986	107.933	107.967	983	0	4
2020.01.03	20:00:00	107.967	108.072	107.840	108.052	2069	0	3
2020.01.03	21:00:00	108.053	108.089	108.010	108.012	1287	0	3
2020.01.03	22:00:00	108.010	108.119	108.010	108.092	741	0	3
2020.01.03	23:00:00	108.092	108.123	108.087	108.099	453	0	5
2020.01.06	00:00:00	107.881	107.935	107.802	107.802	973	0	3
2020.01.06	01:00:00	107.801	107.980	107.769	107.967	3260	0	3
2020.01.06	02:00:00	107.971	108.120	107.946	108.065	3347	0	4
2020.01.06	03:00:00	108.068	108.081	107.912	107.946	2106	0	3
2020.01.06	04:00:00	107.947	108.056	107.928	108.029	1267	0	5
2020.01.06	05:00:00	108.029	108.073	108.007	108.055	753	0	4
