indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,short,2020-03-09T23:00:00+00:00,2020-03-10T18:00:00+00:00,1.143700,1.148637,1.131357,1.131357,win,2.500
Wammie/Moolah,short,2020-03-24T07:00:00+00:00,2020-03-24T08:00:00+00:00,1.078640,1.082982,1.067784,1.082982,loss,-1.000
Wammie/Moolah,long,2020-05-26T04:00:00+00:00,2020-05-26T12:00:00+00:00,1.091030,1.088908,1.096336,1.096336,win,2.500
Wammie/Moolah,long,2020-07-20T08:00:00+00:00,2020-07-20T16:00:00+00:00,1.144250,1.140897,1.152633,1.140897,loss,-1.000
Wammie/Moolah,short,2020-10-13T05:00:00+00:00,2020-10-13T17:00:00+00:00,1.179490,1.181679,1.174019,1.174019,win,2.500
Wammie/Moolah,long,2020-11-03T01:00:00+00:00,2020-11-03T10:00:00+00:00,1.164060,1.162155,1.168821,1.168821,win,2.500
Wammie/Moolah,long,2020-12-09T02:00:00+00:00,2020-12-09T08:00:00+00:00,1.210990,1.209930,1.213639,1.213639,win,2.500
Wammie/Moolah,long,2021-01-05T02:00:00+00:00,2021-01-05T13:00:00+00:00,1.225350,1.224048,1.228606,1.228606,win,2.500
Wammie/Moolah,short,2021-03-29T20:00:00+00:00,2021-03-30T16:00:00+00:00,1.177270,1.179437,1.171853,1.171853,win,2.500
Wammie/Moolah,short,2021-04-16T21:00:00+00:00,2021-04-19T09:00:00+00:00,1.197640,1.199508,1.192971,1.197640,be,0.000
Wammie/Moolah,short,2021-06-30T09:00:00+00:00,2021-06-30T17:00:00+00:00,1.189530,1.191165,1.185442,1.185442,win,2.500
Wammie/Moolah,short,2021-08-13T09:00:00+00:00,2021-08-13T12:00:00+00:00,1.173550,1.174251,1.171797,1.174251,loss,-1.000
Wammie/Moolah,short,2021-09-27T09:00:00+00:00,2021-09-27T09:00:00+00:00,1.171920,1.172560,1.170319,1.171920,be,0.000
Wammie/Moolah,long,2021-10-08T01:00:00+00:00,2021-10-08T08:00:00+00:00,1.155480,1.154678,1.157485,1.154678,loss,-1.000
Wammie/Moolah,short,2021-10-11T21:00:00+00:00,2021-10-13T11:00:00+00:00,1.155640,1.158692,1.148010,1.155640,be,0.000
Wammie/Moolah,long,2021-10-19T06:00:00+00:00,2021-10-25T14:00:00+00:00,1.164240,1.160752,1.172960,1.160752,loss,-1.000
Wammie/Moolah,long,2022-02-08T00:00:00+00:00,2022-02-08T08:00:00+00:00,1.144140,1.141400,1.150991,1.141400,loss,-1.000
Wammie/Moolah,short,2022-04-04T13:00:00+00:00,2022-04-06T04:00:00+00:00,1.100850,1.105456,1.089336,1.089336,win,2.500
Wammie/Moolah,short,2022-04-28T14:00:00+00:00,2022-04-29T10:00:00+00:00,1.049590,1.057317,1.030274,1.057317,loss,-1.000
Wammie/Moolah,long,2022-05-05T01:00:00+00:00,2022-05-05T18:00:00+00:00,1.062350,1.050458,1.092081,1.050458,loss,-1.000
Wammie/Moolah,short,2022-05-24T05:00:00+00:00,2022-05-24T10:00:00+00:00,1.066570,1.069782,1.058540,1.069782,loss,-1.000
Wammie/Moolah,short,2022-10-11T07:00:00+00:00,2022-10-11T14:00:00+00:00,0.968070,0.972444,0.957134,0.972444,loss,-1.000
Wammie/Moolah,long,2022-10-28T23:00:00+00:00,2022-10-31T10:00:00+00:00,0.996590,0.992489,1.006842,0.992489,loss,-1.000
Wammie/Moolah,long,2022-12-13T01:00:00+00:00,2022-12-13T15:00:00+00:00,1.053660,1.050457,1.061668,1.061668,win,2.500
Wammie/Moolah,short,2023-02-22T13:00:00+00:00,2023-02-28T11:00:00+00:00,1.062420,1.066433,1.052388,1.062420,be,0.000
Wammie/Moolah,long,2023-04-12T19:00:00+00:00,2023-04-14T18:00:00+00:00,1.098740,1.091465,1.116928,1.098740,be,0.000
Wammie/Moolah,long,2023-04-21T21:00:00+00:00,2023-04-25T17:00:00+00:00,1.098080,1.093671,1.109103,1.098080,be,0.000
Wammie/Moolah,long,2023-06-15T13:00:00+00:00,2023-06-16T15:00:00+00:00,1.084740,1.079999,1.096592,1.096592,win,2.500
Wammie/Moolah,short,2023-07-04T14:00:00+00:00,2023-07-05T10:00:00+00:00,1.089500,1.091661,1.084096,1.089500,be,0.000
Wammie/Moolah,short,2023-08-04T08:00:00+00:00,2023-08-04T15:00:00+00:00,1.094880,1.096318,1.091284,1.096318,loss,-1.000
Wammie/Moolah,long,2023-08-23T08:00:00+00:00,2023-08-23T10:00:00+00:00,1.086070,1.084153,1.090862,1.084153,loss,-1.000
Wammie/Moolah,long,2023-09-15T08:00:00+00:00,2023-09-19T15:00:00+00:00,1.065350,1.063098,1.070980,1.070980,win,2.500
Wammie/Moolah,short,2023-10-05T09:00:00+00:00,2023-10-05T17:00:00+00:00,1.051610,1.053251,1.047507,1.053251,loss,-1.000
Wammie/Moolah,short,2023-10-31T02:00:00+00:00,2023-10-31T09:00:00+00:00,1.061150,1.062552,1.057646,1.061150,be,0.000
Wammie/Moolah,short,2023-11-09T08:00:00+00:00,2023-11-09T15:00:00+00:00,1.070180,1.071636,1.066539,1.070180,be,0.000
Wammie/Moolah,short,2023-11-21T17:00:00+00:00,2023-11-22T16:00:00+00:00,1.093860,1.096544,1.087150,1.087150,win,2.500
Wammie/Moolah,long,2023-12-19T08:00:00+00:00,2023-12-19T15:00:00+00:00,1.092840,1.091132,1.097109,1.097109,win,2.500
Wammie/Moolah,short,2023-12-28T08:00:00+00:00,2023-12-28T09:00:00+00:00,1.110800,1.112290,1.107074,1.112290,loss,-1.000
Wammie/Moolah,long,2024-01-09T04:00:00+00:00,2024-01-09T07:00:00+00:00,1.096180,1.094802,1.099625,1.094802,loss,-1.000
Wammie/Moolah,long,2024-02-14T07:00:00+00:00,2024-02-14T10:00:00+00:00,1.071460,1.069979,1.075163,1.069979,loss,-1.000
Wammie/Moolah,long,2024-05-09T00:00:00+00:00,2024-05-09T09:00:00+00:00,1.074840,1.073913,1.077158,1.073913,loss,-1.000
