indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,short,2020-01-14T08:00:00+00:00,2020-01-14T13:00:00+00:00,1.298790,1.300385,1.294803,1.298790,be,0.000
Wammie/Moolah,short,2020-01-23T06:00:00+00:00,2020-01-23T16:00:00+00:00,1.313060,1.315305,1.307449,1.313060,be,0.000
Wammie/Moolah,short,2020-04-07T00:00:00+00:00,2020-04-07T10:00:00+00:00,1.222660,1.232860,1.197160,1.232860,loss,-1.000
Wammie/Moolah,short,2020-04-08T06:00:00+00:00,2020-04-08T14:00:00+00:00,1.231440,1.235806,1.220526,1.235806,loss,-1.000
Wammie/Moolah,short,2020-05-05T20:00:00+00:00,2020-05-07T01:00:00+00:00,1.243980,1.248447,1.232813,1.232813,win,2.500
Wammie/Moolah,long,2020-05-12T08:00:00+00:00,2020-05-12T16:00:00+00:00,1.232420,1.228141,1.243117,1.232420,be,0.000
Wammie/Moolah,short,2020-06-03T14:00:00+00:00,2020-06-03T18:00:00+00:00,1.257580,1.261277,1.248336,1.261277,loss,-1.000
Wammie/Moolah,short,2020-11-11T03:00:00+00:00,2020-11-11T04:00:00+00:00,1.325690,1.327915,1.320127,1.327915,loss,-1.000
Wammie/Moolah,long,2020-11-18T07:00:00+00:00,2020-11-19T01:00:00+00:00,1.326200,1.323796,1.332210,1.326200,be,0.000
Wammie/Moolah,long,2021-07-05T11:00:00+00:00,2021-07-06T12:00:00+00:00,1.384780,1.381609,1.392707,1.384780,be,0.000
Wammie/Moolah,long,2021-10-05T13:00:00+00:00,2021-10-06T10:00:00+00:00,1.362510,1.358309,1.373013,1.358309,loss,-1.000
Wammie/Moolah,long,2021-11-03T03:00:00+00:00,2021-11-03T09:00:00+00:00,1.361900,1.360421,1.365597,1.361900,be,0.000
Wammie/Moolah,long,2021-11-16T05:00:00+00:00,2021-11-16T13:00:00+00:00,1.343460,1.340177,1.351666,1.343460,be,0.000
Wammie/Moolah,short,2021-11-19T05:00:00+00:00,2021-11-19T09:00:00+00:00,1.348310,1.350503,1.342828,1.350503,loss,-1.000
Wammie/Moolah,long,2021-12-06T13:00:00+00:00,2021-12-07T15:00:00+00:00,1.326230,1.322132,1.336476,1.322132,loss,-1.000
Wammie/Moolah,long,2022-01-07T19:00:00+00:00,2022-01-13T09:00:00+00:00,1.358220,1.352574,1.372334,1.372334,win,2.500
Wammie/Moolah,long,2022-04-12T00:00:00+00:00,2022-04-12T04:00:00+00:00,1.302820,1.301717,1.305577,1.301717,loss,-1.000
Wammie/Moolah,short,2022-05-25T05:00:00+00:00,2022-05-25T10:00:00+00:00,1.251610,1.255549,1.241762,1.255549,loss,-1.000
Wammie/Moolah,short,2022-06-01T14:00:00+00:00,2022-06-01T16:00:00+00:00,1.258500,1.261713,1.250467,1.258500,be,0.000
Wammie/Moolah,short,2022-09-06T17:00:00+00:00,2022-09-07T20:00:00+00:00,1.151890,1.161034,1.129031,1.151890,be,0.000
Wammie/Moolah,short,2022-10-10T14:00:00+00:00,2022-10-11T15:00:00+00:00,1.104580,1.111260,1.087879,1.111260,loss,-1.000
Wammie/Moolah,long,2023-01-17T00:00:00+00:00,2023-01-17T03:00:00+00:00,1.219680,1.217909,1.224107,1.217909,loss,-1.000
Wammie/Moolah,long,2023-02-09T07:00:00+00:00,2023-02-09T15:00:00+00:00,1.208680,1.205311,1.217103,1.217103,win,2.500
Wammie/Moolah,long,2023-05-23T03:00:00+00:00,2023-05-23T10:00:00+00:00,1.244340,1.241236,1.252101,1.241236,loss,-1.000
Wammie/Moolah,short,2023-06-15T15:00:00+00:00,2023-06-15T16:00:00+00:00,1.264310,1.267449,1.256463,1.267449,loss,-1.000
Wammie/Moolah,short,2023-06-28T02:00:00+00:00,2023-06-28T11:00:00+00:00,1.274630,1.275967,1.271287,1.271287,win,2.500
Wammie/Moolah,long,2023-07-06T01:00:00+00:00,2023-07-06T10:00:00+00:00,1.270440,1.268667,1.274872,1.270440,be,0.000
Wammie/Moolah,short,2023-08-01T13:00:00+00:00,2023-08-01T17:00:00+00:00,1.281660,1.284141,1.275458,1.275458,win,2.500
Wammie/Moolah,long,2023-08-17T08:00:00+00:00,2023-08-17T09:00:00+00:00,1.272290,1.270998,1.275519,1.272290,be,0.000
Wammie/Moolah,long,2023-09-15T07:00:00+00:00,2023-09-15T15:00:00+00:00,1.242200,1.239549,1.248828,1.239549,loss,-1.000
Wammie/Moolah,short,2023-09-22T21:00:00+00:00,2023-09-27T17:00:00+00:00,1.224320,1.228865,1.212957,1.212957,win,2.500
Wammie/Moolah,short,2023-10-23T06:00:00+00:00,2023-10-23T10:00:00+00:00,1.214920,1.217058,1.209574,1.217058,loss,-1.000
Wammie/Moolah,long,2023-11-02T00:00:00+00:00,2023-11-03T14:00:00+00:00,1.215110,1.209438,1.229290,1.229290,win,2.500
Wammie/Moolah,long,2023-11-16T02:00:00+00:00,2023-11-16T03:00:00+00:00,1.242150,1.240252,1.246896,1.240252,loss,-1.000
Wammie/Moolah,long,2023-11-24T10:00:00+00:00,2023-11-24T17:00:00+00:00,1.254550,1.252303,1.260166,1.260166,win,2.500
Wammie/Moolah,short,2023-11-27T02:00:00+00:00,2023-11-27T08:00:00+00:00,1.259780,1.261558,1.255336,1.261558,loss,-1.000
Wammie/Moolah,short,2024-01-12T14:00:00+00:00,2024-01-12T17:00:00+00:00,1.272430,1.278493,1.257273,1.278493,loss,-1.000
Wammie/Moolah,short,2024-04-01T05:00:00+00:00,2024-04-01T17:00:00+00:00,1.262580,1.264506,1.257764,1.257764,win,2.500
Wammie/Moolah,short,2024-04-18T20:00:00+00:00,2024-04-19T10:00:00+00:00,1.244220,1.248495,1.233533,1.244220,be,0.000
Wammie/Moolah,long,2024-05-15T15:00:00+00:00,2024-05-15T15:00:00+00:00,1.262470,1.258247,1.273029,1.262470,be,0.000
Wammie/Moolah,long,2024-06-19T12:00:00+00:00,2024-06-20T11:00:00+00:00,1.273250,1.269736,1.282034,1.269736,loss,-1.000
Wammie/Moolah,long,2024-06-24T08:00:00+00:00,2024-06-24T16:00:00+00:00,1.264490,1.262959,1.268317,1.268317,win,2.500
Wammie/Moolah,long,2024-07-15T08:00:00+00:00,2024-07-15T13:00:00+00:00,1.297480,1.295928,1.301359,1.297480,be,0.000
Wammie/Moolah,short,2024-07-30T16:00:00+00:00,2024-08-01T17:00:00+00:00,1.282810,1.286776,1.272894,1.282810,be,0.000
