indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,short,2020-01-20T19:00:00+00:00,2020-01-21T10:00:00+00:00,1.304990,1.307518,1.298669,1.307518,loss,-1.000
Wammie/Moolah,long,2020-01-24T08:00:00+00:00,2020-01-24T10:00:00+00:00,1.312870,1.312342,1.314191,1.312342,loss,-1.000
Wammie/Moolah,short,2020-02-21T14:00:00+00:00,2020-02-21T17:00:00+00:00,1.325670,1.326883,1.322638,1.322638,win,2.500
Wammie/Moolah,long,2020-03-27T03:00:00+00:00,2020-03-27T05:00:00+00:00,1.406010,1.400764,1.419124,1.400764,loss,-1.000
Wammie/Moolah,short,2020-04-29T04:00:00+00:00,2020-05-01T01:00:00+00:00,1.395920,1.400680,1.384019,1.395920,be,0.000
Wammie/Moolah,short,2020-06-24T03:00:00+00:00,2020-06-24T10:00:00+00:00,1.354040,1.356092,1.348911,1.356092,loss,-1.000
Wammie/Moolah,long,2020-08-13T07:00:00+00:00,2020-08-13T11:00:00+00:00,1.324080,1.322819,1.327232,1.322819,loss,-1.000
Wammie/Moolah,short,2020-08-19T14:00:00+00:00,2020-08-19T17:00:00+00:00,1.314430,1.316984,1.308046,1.316984,loss,-1.000
Wammie/Moolah,long,2020-09-28T11:00:00+00:00,2020-09-28T13:00:00+00:00,1.339800,1.337374,1.345865,1.337374,loss,-1.000
Wammie/Moolah,short,2020-11-13T02:00:00+00:00,2020-11-13T03:00:00+00:00,1.313700,1.315014,1.310414,1.315014,loss,-1.000
Wammie/Moolah,short,2021-05-19T09:00:00+00:00,2021-05-19T11:00:00+00:00,1.206540,1.208141,1.202538,1.208141,loss,-1.000
Wammie/Moolah,short,2021-06-10T19:00:00+00:00,2021-06-11T16:00:00+00:00,1.209440,1.212493,1.201807,1.212493,loss,-1.000
Wammie/Moolah,long,2021-10-08T02:00:00+00:00,2021-10-08T05:00:00+00:00,1.255250,1.253886,1.258660,1.253886,loss,-1.000
Wammie/Moolah,short,2021-10-12T19:00:00+00:00,2021-10-19T13:00:00+00:00,1.243960,1.249046,1.231246,1.231246,win,2.500
Wammie/Moolah,short,2021-12-30T21:00:00+00:00,2021-12-31T17:00:00+00:00,1.276840,1.281274,1.265755,1.265755,win,2.500
Wammie/Moolah,long,2022-02-03T02:00:00+00:00,2022-02-04T15:00:00+00:00,1.268700,1.264888,1.278231,1.278231,win,2.500
Wammie/Moolah,long,2022-03-08T18:00:00+00:00,2022-03-09T18:00:00+00:00,1.286850,1.280469,1.302802,1.280469,loss,-1.000
Wammie/Moolah,short,2022-04-11T09:00:00+00:00,2022-04-11T16:00:00+00:00,1.259080,1.261901,1.252028,1.261901,loss,-1.000
Wammie/Moolah,long,2022-06-23T01:00:00+00:00,2022-06-24T17:00:00+00:00,1.294860,1.290925,1.304698,1.294860,be,0.000
Wammie/Moolah,short,2022-06-27T20:00:00+00:00,2022-06-28T17:00:00+00:00,1.286940,1.291693,1.275057,1.286940,be,0.000
Wammie/Moolah,long,2022-08-04T02:00:00+00:00,2022-08-04T12:00:00+00:00,1.284970,1.283115,1.289607,1.283115,loss,-1.000
Wammie/Moolah,long,2022-08-18T19:00:00+00:00,2022-08-23T18:00:00+00:00,1.294620,1.287659,1.312022,1.294620,be,0.000
Wammie/Moolah,long,2022-08-25T02:00:00+00:00,2022-08-25T03:00:00+00:00,1.297140,1.295491,1.301262,1.295491,loss,-1.000
Wammie/Moolah,long,2022-09-22T02:00:00+00:00,2022-09-26T18:00:00+00:00,1.347300,1.335559,1.376653,1.376653,win,2.500
Wammie/Moolah,long,2022-12-19T07:00:00+00:00,2022-12-19T10:00:00+00:00,1.367180,1.364022,1.375074,1.364022,loss,-1.000
Wammie/Moolah,short,2023-01-09T20:00:00+00:00,2023-01-10T14:00:00+00:00,1.336730,1.341967,1.323636,1.341967,loss,-1.000
Wammie/Moolah,short,2023-01-11T07:00:00+00:00,2023-01-11T07:00:00+00:00,1.342930,1.344573,1.338824,1.342930,be,0.000
Wammie/Moolah,long,2023-01-24T17:00:00+00:00,2023-01-25T09:00:00+00:00,1.340930,1.334505,1.356992,1.334505,loss,-1.000
Wammie/Moolah,short,2023-01-27T20:00:00+00:00,2023-01-30T10:00:00+00:00,1.330270,1.334689,1.319223,1.334689,loss,-1.000
Wammie/Moolah,long,2023-06-30T09:00:00+00:00,2023-06-30T16:00:00+00:00,1.325300,1.323785,1.329089,1.325300,be,0.000
Wammie/Moolah,long,2023-08-11T13:00:00+00:00,2023-08-11T17:00:00+00:00,1.345800,1.342573,1.353868,1.342573,loss,-1.000
Wammie/Moolah,long,2023-10-31T01:00:00+00:00,2023-10-31T09:00:00+00:00,1.382660,1.381182,1.386354,1.382660,be,0.000
Wammie/Moolah,short,2024-02-01T17:00:00+00:00,2024-02-02T15:00:00+00:00,1.341750,1.346441,1.330022,1.341750,be,0.000
Wammie/Moolah,long,2024-05-08T22:00:00+00:00,2024-05-09T00:00:00+00:00,1.373210,1.371536,1.377395,1.371536,loss,-1.000
Wammie/Moolah,long,2024-05-23T20:00:00+00:00,2024-05-24T20:00:00+00:00,1.370910,1.365537,1.384343,1.365537,loss,-1.000
Wammie/Moolah,short,2024-07-04T10:00:00+00:00,2024-07-05T15:00:00+00:00,1.362510,1.364160,1.358385,1.362510,be,0.000
