indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,long,2020-01-20T14:00:00+00:00,2020-01-21T03:00:00+00:00,110.192000,110.082614,110.465464,110.082614,loss,-1.000
Wammie/Moolah,long,2020-02-18T15:00:00+00:00,2020-02-18T16:00:00+00:00,109.776000,109.651918,110.086205,109.776000,be,0.000
Wammie/Moolah,short,2020-05-25T15:00:00+00:00,2020-05-26T04:00:00+00:00,107.678000,107.781533,107.419168,107.781533,loss,-1.000
Wammie/Moolah,long,2020-06-29T04:00:00+00:00,2020-06-29T07:00:00+00:00,107.271000,107.093587,107.714534,107.093587,loss,-1.000
Wammie/Moolah,long,2020-07-03T15:00:00+00:00,2020-07-06T05:00:00+00:00,107.526000,107.428589,107.769529,107.769529,win,2.500
Wammie/Moolah,short,2020-08-14T07:00:00+00:00,2020-08-14T15:00:00+00:00,106.914000,107.051696,106.569761,106.569761,win,2.500
Wammie/Moolah,short,2020-09-29T23:00:00+00:00,2020-09-30T03:00:00+00:00,105.643000,105.734621,105.413948,105.734621,loss,-1.000
Wammie/Moolah,long,2020-10-01T11:00:00+00:00,2020-10-01T18:00:00+00:00,105.543000,105.394752,105.913619,105.543000,be,0.000
Wammie/Moolah,long,2020-10-08T20:00:00+00:00,2020-10-09T03:00:00+00:00,106.018000,105.916645,106.271387,105.916645,loss,-1.000
Wammie/Moolah,short,2020-12-09T02:00:00+00:00,2020-12-09T09:00:00+00:00,104.124000,104.206471,103.917822,104.206471,loss,-1.000
Wammie/Moolah,short,2021-02-18T13:00:00+00:00,2021-02-22T04:00:00+00:00,105.684000,105.927076,105.076310,105.684000,be,0.000
Wammie/Moolah,long,2021-03-11T02:00:00+00:00,2021-03-11T08:00:00+00:00,108.456000,108.327654,108.776865,108.776865,win,2.500
Wammie/Moolah,long,2021-06-30T09:00:00+00:00,2021-06-30T11:00:00+00:00,110.510000,110.424083,110.724794,110.424083,loss,-1.000
Wammie/Moolah,short,2021-08-02T14:00:00+00:00,2021-08-04T15:00:00+00:00,109.506000,109.771438,108.842406,108.842406,win,2.500
Wammie/Moolah,long,2021-09-21T06:00:00+00:00,2021-09-21T15:00:00+00:00,109.586000,109.313304,110.267740,109.313304,loss,-1.000
Wammie/Moolah,short,2022-01-06T06:00:00+00:00,2022-01-12T17:00:00+00:00,115.845000,116.187381,114.989046,114.989046,win,2.500
Wammie/Moolah,long,2022-01-25T10:00:00+00:00,2022-01-25T15:00:00+00:00,113.888000,113.639550,114.509126,113.888000,be,0.000
Wammie/Moolah,short,2022-03-04T13:00:00+00:00,2022-03-04T18:00:00+00:00,115.336000,115.556291,114.785274,114.785274,win,2.500
Wammie/Moolah,long,2022-03-16T17:00:00+00:00,2022-03-16T20:00:00+00:00,118.411000,118.163974,119.028565,119.028565,win,2.500
Wammie/Moolah,long,2022-07-07T19:00:00+00:00,2022-07-08T05:00:00+00:00,136.011000,135.533693,137.204268,135.533693,loss,-1.000
Wammie/Moolah,short,2022-07-15T10:00:00+00:00,2022-07-19T13:00:00+00:00,138.661000,139.135705,137.474238,137.474238,win,2.500
Wammie/Moolah,short,2022-07-28T18:00:00+00:00,2022-07-29T16:00:00+00:00,134.508000,135.810648,131.251380,134.508000,be,0.000
Wammie/Moolah,long,2022-09-29T23:00:00+00:00,2022-09-30T03:00:00+00:00,144.440000,144.190910,145.062724,144.440000,be,0.000
Wammie/Moolah,long,2022-12-15T02:00:00+00:00,2022-12-15T19:00:00+00:00,135.492000,134.494628,137.985429,137.985429,win,2.500
Wammie/Moolah,short,2023-03-02T01:00:00+00:00,2023-03-02T03:00:00+00:00,136.105000,136.328374,135.546564,136.328374,loss,-1.000
Wammie/Moolah,long,2023-03-13T09:00:00+00:00,2023-03-13T11:00:00+00:00,134.557000,133.513285,137.166287,133.513285,loss,-1.000
Wammie/Moolah,long,2023-10-23T08:00:00+00:00,2023-10-23T18:00:00+00:00,149.939000,149.768215,150.365962,149.768215,loss,-1.000
Wammie/Moolah,short,2023-12-06T00:00:00+00:00,2023-12-06T13:00:00+00:00,147.136000,147.457209,146.332977,147.457209,loss,-1.000
Wammie/Moolah,long,2024-02-19T15:00:00+00:00,2024-02-20T07:00:00+00:00,150.022000,149.862426,150.420935,150.420935,win,2.500
Wammie/Moolah,short,2024-08-06T23:00:00+00:00,2024-08-07T04:00:00+00:00,144.724000,145.488204,142.813491,145.488204,loss,-1.000
Wammie/Moolah,long,2024-09-17T14:00:00+00:00,2024-09-17T15:00:00+00:00,140.678000,140.301914,141.618214,140.678000,be,0.000
Wammie/Moolah,short,2025-01-13T06:00:00+00:00,2025-01-14T03:00:00+00:00,157.403000,157.993508,155.926729,157.993508,loss,-1.000
Wammie/Moolah,short,2025-04-15T14:00:00+00:00,2025-04-16T11:00:00+00:00,142.829000,143.603503,140.892743,142.829000,be,0.000
Wammie/Moolah,short,2025-05-28T03:00:00+00:00,2025-05-28T04:00:00+00:00,144.124000,144.461794,143.279516,144.461794,loss,-1.000
Wammie/Moolah,long,2026-01-12T19:00:00+00:00,2026-01-14T03:00:00+00:00,158.153000,157.659531,159.386674,159.386674,win,2.500
Wammie/Moolah,short,2026-02-11T06:00:00+00:00,2026-02-11T15:00:00+00:00,153.542000,154.592424,150.915940,154.592424,loss,-1.000
