indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,long,2020-11-05T13:00:00+00:00,2020-11-09T18:00:00+00:00,1.181140,1.170950,1.201520,1.181140,be,0.000
Wammie/Moolah,short,2021-06-30T09:00:00+00:00,2021-06-30T17:00:00+00:00,1.189530,1.191165,1.186259,1.186259,win,2.000
Wammie/Moolah,short,2021-08-13T09:00:00+00:00,2021-08-13T12:00:00+00:00,1.173550,1.174811,1.171027,1.174811,loss,-1.000
Wammie/Moolah,short,2021-09-27T09:00:00+00:00,2021-09-27T09:00:00+00:00,1.171920,1.172560,1.170640,1.171920,be,0.000
Wammie/Moolah,short,2021-10-28T09:00:00+00:00,2021-10-28T11:00:00+00:00,1.159980,1.161624,1.156693,1.159980,be,0.000
Wammie/Moolah,short,2022-04-04T13:00:00+00:00,2022-04-05T19:00:00+00:00,1.100850,1.105456,1.091639,1.091639,win,2.000
Wammie/Moolah,short,2022-04-28T14:00:00+00:00,2022-04-29T10:00:00+00:00,1.049590,1.057317,1.034137,1.057317,loss,-1.000
Wammie/Moolah,short,2022-09-16T08:00:00+00:00,2022-09-16T10:00:00+00:00,0.999470,1.001821,0.994769,0.999470,be,0.000
Wammie/Moolah,long,2023-06-15T13:00:00+00:00,2023-06-15T19:00:00+00:00,1.084740,1.079999,1.094221,1.094221,win,2.000
Wammie/Moolah,long,2023-06-20T09:00:00+00:00,2023-06-20T10:00:00+00:00,1.092590,1.090615,1.096541,1.092590,be,0.000
Wammie/Moolah,short,2023-10-05T09:00:00+00:00,2023-10-05T17:00:00+00:00,1.051610,1.053251,1.048327,1.053251,loss,-1.000
Wammie/Moolah,long,2023-12-19T08:00:00+00:00,2023-12-19T15:00:00+00:00,1.092840,1.090612,1.097295,1.097295,win,2.000
Wammie/Moolah,short,2024-07-02T13:00:00+00:00,2024-07-02T16:00:00+00:00,1.071010,1.074287,1.064456,1.074287,loss,-1.000
Wammie/Moolah,long,2025-06-17T14:00:00+00:00,2025-06-17T17:00:00+00:00,1.156880,1.154161,1.162319,1.154161,loss,-1.000
Wammie/Moolah,long,2025-12-10T09:00:00+00:00,2025-12-10T11:00:00+00:00,1.163560,1.161442,1.167796,1.163560,be,0.000
