indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,short,2022-01-18T14:00:00+00:00,2022-01-24T14:00:00+00:00,1.360130,1.366161,1.348067,1.348067,win,2.000
Wammie/Moolah,short,2022-09-06T17:00:00+00:00,2022-09-07T20:00:00+00:00,1.151890,1.161034,1.133603,1.151890,be,0.000
Wammie/Moolah,short,2022-10-10T14:00:00+00:00,2022-10-11T15:00:00+00:00,1.104580,1.111260,1.091219,1.111260,loss,-1.000
Wammie/Moolah,long,2023-02-14T12:00:00+00:00,2023-02-14T15:00:00+00:00,1.218810,1.212205,1.232021,1.218810,be,0.000
Wammie/Moolah,long,2023-04-06T09:00:00+00:00,2023-04-06T15:00:00+00:00,1.245020,1.243156,1.248748,1.245020,be,0.000
Wammie/Moolah,long,2023-11-24T10:00:00+00:00,2023-11-24T16:00:00+00:00,1.254550,1.252303,1.259043,1.259043,win,2.000
Wammie/Moolah,long,2024-01-22T14:00:00+00:00,2024-01-23T16:00:00+00:00,1.271440,1.268013,1.278294,1.268013,loss,-1.000
Wammie/Moolah,long,2024-04-10T08:00:00+00:00,2024-04-10T15:00:00+00:00,1.267750,1.266216,1.270818,1.267750,be,0.000
Wammie/Moolah,short,2024-04-12T09:00:00+00:00,2024-04-12T13:00:00+00:00,1.253630,1.256412,1.248067,1.248067,win,2.000
Wammie/Moolah,long,2024-05-15T15:00:00+00:00,2024-05-15T15:00:00+00:00,1.262470,1.258247,1.270917,1.262470,be,0.000
Wammie/Moolah,long,2024-07-12T13:00:00+00:00,2024-07-18T21:00:00+00:00,1.295010,1.289767,1.305496,1.295010,be,0.000
Wammie/Moolah,long,2024-09-30T14:00:00+00:00,2024-09-30T17:00:00+00:00,1.340650,1.337220,1.347509,1.337220,loss,-1.000
Wammie/Moolah,long,2025-08-13T09:00:00+00:00,2025-08-13T11:00:00+00:00,1.350770,1.348705,1.354900,1.354900,win,2.000
