indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,short,2020-10-19T12:00:00+00:00,2020-10-19T21:00:00+00:00,1.317750,1.319706,1.313838,1.317750,be,0.000
Wammie/Moolah,short,2021-05-19T09:00:00+00:00,2021-05-19T11:00:00+00:00,1.206540,1.208141,1.203339,1.208141,loss,-1.000
Wammie/Moolah,short,2021-05-25T15:00:00+00:00,2021-05-25T16:00:00+00:00,1.203170,1.205595,1.198321,1.205595,loss,-1.000
Wammie/Moolah,long,2021-11-29T17:00:00+00:00,2021-11-30T15:00:00+00:00,1.276390,1.271960,1.285251,1.276390,be,0.000
Wammie/Moolah,long,2022-02-04T10:00:00+00:00,2022-02-04T16:00:00+00:00,1.269990,1.265685,1.278600,1.278600,win,2.000
Wammie/Moolah,long,2023-10-31T15:00:00+00:00,2023-11-01T16:00:00+00:00,1.384940,1.381186,1.392449,1.384940,be,0.000
Wammie/Moolah,long,2024-03-28T08:00:00+00:00,2024-03-28T11:00:00+00:00,1.357920,1.356414,1.360932,1.360932,win,2.000
Wammie/Moolah,long,2024-04-12T08:00:00+00:00,2024-04-12T21:00:00+00:00,1.370840,1.367290,1.377940,1.377940,win,2.000
Wammie/Moolah,short,2024-08-27T14:00:00+00:00,2024-08-29T16:00:00+00:00,1.346310,1.348976,1.340978,1.348976,loss,-1.000
Wammie/Moolah,long,2024-10-15T15:00:00+00:00,2024-10-15T19:00:00+00:00,1.381700,1.379457,1.386186,1.379457,loss,-1.000
Wammie/Moolah,short,2025-06-12T09:00:00+00:00,2025-06-12T10:00:00+00:00,1.364700,1.367461,1.359177,1.367461,loss,-1.000
Wammie/Moolah,long,2025-10-13T09:00:00+00:00,2025-10-14T09:00:00+00:00,1.399920,1.397462,1.404835,1.404835,win,2.000
Wammie/Moolah,long,2025-11-03T13:00:00+00:00,2025-11-05T14:00:00+00:00,1.404590,1.400022,1.413726,1.413726,win,2.000
Wammie/Moolah,short,2025-12-10T14:00:00+00:00,2025-12-10T16:00:00+00:00,1.384620,1.386053,1.381754,1.386053,loss,-1.000
Wammie/Moolah,short,2026-01-28T08:00:00+00:00,2026-01-28T17:00:00+00:00,1.358320,1.362327,1.350306,1.358320,be,0.000
