indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,long,2020-01-15T08:00:00+00:00,2020-01-15T08:00:00+00:00,1.113440,1.112993,1.113430,1.113430,win,-0.022
Wammie/Moolah,long,2020-11-23T01:00:00+00:00,2020-11-23T03:00:00+00:00,1.185900,1.184929,1.187770,1.187770,win,1.925
Wammie/Moolah,short,2021-01-22T22:00:00+00:00,2021-01-25T04:00:00+00:00,1.216590,1.217399,1.215410,1.217399,loss,-1.000
Wammie/Moolah,short,2021-10-13T19:00:00+00:00,2021-10-13T20:00:00+00:00,1.156660,1.158698,1.153610,1.158698,loss,-1.000
Wammie/Moolah,short,2021-10-18T03:00:00+00:00,2021-10-18T03:00:00+00:00,1.159570,1.160167,1.158840,1.159570,be,0.000
Wammie/Moolah,long,2022-02-10T10:00:00+00:00,2022-02-10T10:00:00+00:00,1.142850,1.141612,1.143090,1.143090,win,0.194
Wammie/Moolah,short,2022-03-21T06:00:00+00:00,2022-03-21T08:00:00+00:00,1.104460,1.105463,1.103740,1.104460,be,0.000
Wammie/Moolah,long,2022-09-15T05:00:00+00:00,2022-09-15T07:00:00+00:00,0.998190,0.996791,0.998400,0.996791,loss,-1.000
Wammie/Moolah,long,2023-05-03T02:00:00+00:00,2023-05-03T02:00:00+00:00,1.100620,1.099034,1.100740,1.100740,win,0.076
Wammie/Moolah,short,2023-12-11T22:00:00+00:00,2023-12-12T08:00:00+00:00,1.076030,1.077075,1.074150,1.077075,loss,-1.000
Wammie/Moolah,short,2025-01-29T09:00:00+00:00,2025-01-29T09:00:00+00:00,1.043610,1.044450,1.042570,1.043610,be,0.000
Wammie/Moolah,short,2025-02-05T06:00:00+00:00,2025-02-05T08:00:00+00:00,1.037880,1.038805,1.036960,1.038805,loss,-1.000
