indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,long,2021-08-20T23:00:00+00:00,2021-08-23T00:00:00+00:00,1.362570,1.361692,1.363560,1.361692,loss,-1.000
Wammie/Moolah,long,2021-08-24T20:00:00+00:00,2021-08-25T09:00:00+00:00,1.372180,1.370929,1.374720,1.370929,loss,-1.000
Wammie/Moolah,long,2021-11-17T13:00:00+00:00,2021-11-17T15:00:00+00:00,1.343990,1.341350,1.347290,1.347290,win,1.250
Wammie/Moolah,short,2022-06-08T03:00:00+00:00,2022-06-08T04:00:00+00:00,1.258580,1.260008,1.257230,1.257230,win,0.945
Wammie/Moolah,short,2023-02-24T13:00:00+00:00,2023-02-24T13:00:00+00:00,1.200800,1.203353,1.200430,1.200800,be,0.000
Wammie/Moolah,long,2023-04-17T08:00:00+00:00,2023-04-17T08:00:00+00:00,1.241210,1.239662,1.241790,1.241790,win,0.375
Wammie/Moolah,short,2024-01-24T23:00:00+00:00,2024-01-25T09:00:00+00:00,1.271450,1.273323,1.264890,1.273323,loss,-1.000
Wammie/Moolah,short,2024-02-20T00:00:00+00:00,2024-02-20T03:00:00+00:00,1.259530,1.260639,1.258330,1.258330,win,1.082
Wammie/Moolah,long,2024-03-11T22:00:00+00:00,2024-03-11T23:00:00+00:00,1.280980,1.280317,1.285320,1.280317,loss,-1.000
Wammie/Moolah,long,2025-12-08T03:00:00+00:00,2025-12-08T08:00:00+00:00,1.333330,1.332087,1.336120,1.333330,be,0.000
