indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,long,2020-01-07T08:00:00+00:00,2020-01-07T09:00:00+00:00,1.296930,1.296353,1.298910,1.296930,be,0.000
Wammie/Moolah,short,2020-01-20T15:00:00+00:00,2020-01-20T16:00:00+00:00,1.306460,1.307225,1.305840,1.306460,be,0.000
Wammie/Moolah,short,2020-03-24T03:00:00+00:00,2020-03-24T07:00:00+00:00,1.445000,1.449350,1.433570,1.445000,be,0.000
Wammie/Moolah,long,2020-10-02T04:00:00+00:00,2020-10-02T08:00:00+00:00,1.329960,1.327862,1.332150,1.332150,win,1.044
Wammie/Moolah,short,2020-12-28T15:00:00+00:00,2020-12-28T17:00:00+00:00,1.283510,1.285379,1.281340,1.285379,loss,-1.000
Wammie/Moolah,long,2023-05-02T11:00:00+00:00,2023-05-02T11:00:00+00:00,1.355170,1.352933,1.355540,1.355170,be,0.000
Wammie/Moolah,short,2023-12-20T16:00:00+00:00,2023-12-20T17:00:00+00:00,1.333910,1.335092,1.332490,1.332490,win,1.201
Wammie/Moolah,short,2024-11-25T15:00:00+00:00,2024-11-25T17:00:00+00:00,1.396190,1.398522,1.392700,1.398522,loss,-1.000
Wammie/Moolah,short,2025-02-28T14:00:00+00:00,2025-02-28T15:00:00+00:00,1.442910,1.444252,1.440226,1.442910,be,0.000
Wammie/Moolah,long,2025-03-24T14:00:00+00:00,2025-03-24T14:00:00+00:00,1.432540,1.431247,1.435000,1.432540,be,0.000
Wammie/Moolah,long,2025-10-20T12:00:00+00:00,2025-10-20T14:00:00+00:00,1.403230,1.402603,1.405290,1.403230,be,0.000
Wammie/Moolah,long,2026-01-23T12:00:00+00:00,2026-01-23T13:00:00+00:00,1.379200,1.378081,1.383240,1.378081,loss,-1.000
Wammie/Moolah,long,2026-02-18T15:00:00+00:00,2026-02-18T15:00:00+00:00,1.364790,1.363467,1.366740,1.364790,be,0.000
