indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Wammie/Moolah,short,2020-03-25T11:00:00+00:00,2020-03-25T16:00:00+00:00,111.295000,111.640382,110.752000,111.640382,loss,-1.000
Wammie/Moolah,short,2020-06-12T23:00:00+00:00,2020-06-15T01:00:00+00:00,107.374000,107.469205,107.214000,107.469205,loss,-1.000
Wammie/Moolah,short,2020-10-26T19:00:00+00:00,2020-10-27T02:00:00+00:00,104.829000,104.932553,104.791000,104.791000,win,0.367
Wammie/Moolah,long,2021-05-07T09:00:00+00:00,2021-05-07T09:00:00+00:00,109.115000,109.025154,109.182000,109.182000,win,0.746
Wammie/Moolah,short,2021-06-09T13:00:00+00:00,2021-06-09T14:00:00+00:00,109.445000,109.518849,109.327000,109.445000,be,0.000
Wammie/Moolah,short,2021-06-15T09:00:00+00:00,2021-06-15T10:00:00+00:00,110.027000,110.106062,110.025000,110.025000,win,0.025
Wammie/Moolah,short,2021-08-20T19:00:00+00:00,2021-08-23T01:00:00+00:00,109.754000,109.848217,109.568000,109.848217,loss,-1.000
Wammie/Moolah,long,2021-12-13T01:00:00+00:00,2021-12-13T01:00:00+00:00,113.434000,113.330468,113.459000,113.459000,win,0.241
Wammie/Moolah,long,2022-02-04T02:00:00+00:00,2022-02-04T03:00:00+00:00,114.986000,114.910669,115.136663,114.910669,loss,-1.000
Wammie/Moolah,long,2022-07-06T22:00:00+00:00,2022-07-07T02:00:00+00:00,135.975000,135.455745,136.001000,136.001000,win,0.050
Wammie/Moolah,short,2022-10-19T01:00:00+00:00,2022-10-19T07:00:00+00:00,149.183000,149.289156,148.120000,149.289156,loss,-1.000
Wammie/Moolah,long,2023-09-08T10:00:00+00:00,2023-09-08T10:00:00+00:00,147.243000,147.015246,147.378000,147.378000,win,0.593
Wammie/Moolah,short,2025-01-24T19:00:00+00:00,2025-01-27T07:00:00+00:00,155.572000,156.086157,154.836000,156.086157,loss,-1.000
Wammie/Moolah,long,2025-07-02T12:00:00+00:00,2025-07-02T12:00:00+00:00,143.970000,143.756637,144.396725,143.970000,be,0.000
