indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Last Kiss,long,2020-11-09T15:00:00+00:00,2020-11-09T17:00:00+00:00,1.189980,1.183955,1.202030,1.183955,loss,-1.000
Last Kiss,long,2020-12-03T14:00:00+00:00,2020-12-09T17:00:00+00:00,1.212970,1.207770,1.223370,1.207770,loss,-1.000
Last Kiss,long,2021-01-22T11:00:00+00:00,2021-01-25T16:00:00+00:00,1.218370,1.212665,1.229780,1.212665,loss,-1.000
Last Kiss,long,2021-04-29T14:00:00+00:00,2021-04-30T13:00:00+00:00,1.212280,1.208130,1.220580,1.208130,loss,-1.000
Last Kiss,short,2021-06-29T13:00:00+00:00,2021-07-02T15:00:00+00:00,1.189890,1.193845,1.181980,1.181980,win,2.000
Last Kiss,short,2021-07-06T16:00:00+00:00,2021-07-08T16:00:00+00:00,1.183280,1.185935,1.177970,1.185935,loss,-1.000
Last Kiss,short,2021-07-14T11:00:00+00:00,2021-07-14T22:00:00+00:00,1.178310,1.183540,1.167850,1.183540,loss,-1.000
Last Kiss,short,2021-09-16T10:00:00+00:00,2021-09-17T18:00:00+00:00,1.179050,1.182130,1.172890,1.172890,win,2.000
Last Kiss,short,2021-10-06T12:00:00+00:00,2021-10-14T10:00:00+00:00,1.155040,1.160420,1.144280,1.160420,loss,-1.000
Last Kiss,short,2021-10-26T15:00:00+00:00,2021-10-28T16:00:00+00:00,1.161540,1.164305,1.156010,1.164305,loss,-1.000
Last Kiss,short,2021-11-04T16:00:00+00:00,2021-11-08T17:00:00+00:00,1.155240,1.158610,1.148500,1.158610,loss,-1.000
Last Kiss,short,2021-11-24T11:00:00+00:00,2021-11-26T10:00:00+00:00,1.121920,1.125785,1.114190,1.125785,loss,-1.000
Last Kiss,short,2021-12-07T13:00:00+00:00,2021-12-08T12:00:00+00:00,1.125680,1.129640,1.117760,1.129640,loss,-1.000
Last Kiss,short,2021-12-15T15:00:00+00:00,2021-12-15T22:00:00+00:00,1.125970,1.129550,1.118810,1.129550,loss,-1.000
Last Kiss,short,2022-02-11T16:00:00+00:00,2022-02-14T10:00:00+00:00,1.138920,1.142700,1.131360,1.131360,win,2.000
Last Kiss,short,2022-02-14T16:00:00+00:00,2022-02-16T10:00:00+00:00,1.131060,1.138105,1.116970,1.138105,loss,-1.000
Last Kiss,short,2022-03-23T15:00:00+00:00,2022-03-29T12:00:00+00:00,1.097440,1.104070,1.084180,1.104070,loss,-1.000
Last Kiss,short,2022-04-08T16:00:00+00:00,2022-04-11T12:00:00+00:00,1.084950,1.092460,1.069930,1.092460,loss,-1.000
Last Kiss,short,2022-06-07T16:00:00+00:00,2022-06-07T17:00:00+00:00,1.065350,1.070815,1.054420,1.070815,loss,-1.000
Last Kiss,short,2022-09-06T16:00:00+00:00,2022-09-07T20:00:00+00:00,0.989880,0.998220,0.973200,0.998220,loss,-1.000
Last Kiss,short,2022-10-21T13:00:00+00:00,2022-10-21T16:00:00+00:00,0.973450,0.979965,0.960420,0.979965,loss,-1.000
Last Kiss,long,2022-12-05T11:00:00+00:00,2022-12-06T20:00:00+00:00,1.055450,1.046575,1.073200,1.046575,loss,-1.000
Last Kiss,long,2023-03-06T17:00:00+00:00,2023-03-07T17:00:00+00:00,1.067340,1.061330,1.079360,1.061330,loss,-1.000
Last Kiss,long,2023-03-14T11:00:00+00:00,2023-03-15T12:00:00+00:00,1.070710,1.065675,1.080780,1.065675,loss,-1.000
Last Kiss,long,2023-03-22T13:00:00+00:00,2023-03-22T20:00:00+00:00,1.079460,1.074480,1.089420,1.089420,win,2.000
Last Kiss,long,2023-04-19T16:00:00+00:00,2023-04-24T17:00:00+00:00,1.094950,1.090705,1.103440,1.103440,win,2.000
Last Kiss,long,2023-06-14T17:00:00+00:00,2023-06-16T15:00:00+00:00,1.084490,1.078290,1.096890,1.096890,win,2.000
Last Kiss,long,2023-07-18T15:00:00+00:00,2023-07-18T16:00:00+00:00,1.126000,1.122430,1.133140,1.122430,loss,-1.000
Last Kiss,short,2023-09-05T11:00:00+00:00,2023-09-25T16:00:00+00:00,1.075420,1.083230,1.059800,1.059800,win,2.000
Last Kiss,long,2023-11-28T16:00:00+00:00,2023-11-30T10:00:00+00:00,1.097390,1.092360,1.107450,1.092360,loss,-1.000
Last Kiss,long,2024-03-04T17:00:00+00:00,2024-03-07T18:00:00+00:00,1.086170,1.082560,1.093390,1.093390,win,2.000
Last Kiss,short,2024-03-28T17:00:00+00:00,2024-04-01T17:00:00+00:00,1.079700,1.082160,1.074780,1.074780,win,2.000
Last Kiss,long,2024-05-28T13:00:00+00:00,2024-05-29T02:00:00+00:00,1.087750,1.085375,1.092500,1.085375,loss,-1.000
Last Kiss,short,2024-06-21T10:00:00+00:00,2024-06-24T14:00:00+00:00,1.070790,1.073275,1.065820,1.073275,loss,-1.000
Last Kiss,long,2024-09-27T16:00:00+00:00,2024-09-30T21:00:00+00:00,1.120160,1.113315,1.133850,1.113315,loss,-1.000
Last Kiss,short,2024-12-02T17:00:00+00:00,2024-12-04T17:00:00+00:00,1.047200,1.053945,1.033710,1.053945,loss,-1.000
Last Kiss,short,2025-01-02T08:00:00+00:00,2025-01-02T18:00:00+00:00,1.036140,1.040975,1.026470,1.026470,win,2.000
Last Kiss,short,2025-02-27T17:00:00+00:00,2025-03-03T14:00:00+00:00,1.041350,1.046690,1.030670,1.046690,loss,-1.000
Last Kiss,long,2025-03-18T10:00:00+00:00,2025-03-18T14:00:00+00:00,1.093660,1.089735,1.101510,1.089735,loss,-1.000
Last Kiss,long,2025-04-09T12:00:00+00:00,2025-04-09T21:00:00+00:00,1.103500,1.094000,1.122500,1.094000,loss,-1.000
Last Kiss,long,2025-04-10T17:00:00+00:00,2025-04-11T11:00:00+00:00,1.113430,1.098905,1.142480,1.142480,win,2.000
Last Kiss,long,2025-07-01T11:00:00+00:00,2025-07-03T15:00:00+00:00,1.178780,1.173400,1.189540,1.173400,loss,-1.000
Last Kiss,long,2025-08-13T17:00:00+00:00,2025-08-14T17:00:00+00:00,1.170720,1.164800,1.182560,1.164800,loss,-1.000
Last Kiss,long,2025-09-05T17:00:00+00:00,2025-09-08T00:00:00+00:00,1.175010,1.171085,1.182860,1.171085,loss,-1.000
Last Kiss,long,2025-11-17T14:00:00+00:00,2025-11-18T12:00:00+00:00,1.160300,1.158010,1.164880,1.158010,loss,-1.000
Last Kiss,long,2025-12-03T14:00:00+00:00,2025-12-08T17:00:00+00:00,1.166580,1.162020,1.175700,1.162020,loss,-1.000
Last Kiss,long,2026-01-20T10:00:00+00:00,2026-01-23T18:00:00+00:00,1.169370,1.165565,1.176980,1.176980,win,2.000
Big Shadow,short,2020-01-13T12:00:00+00:00,2020-01-13T17:00:00+00:00,1.111430,1.113671,1.106948,1.113671,loss,-1.000
Big Shadow,short,2020-01-15T10:00:00+00:00,2020-01-15T12:00:00+00:00,1.112680,1.113707,1.110626,1.113707,loss,-1.000
Big Shadow,short,2020-01-22T17:00:00+00:00,2020-01-23T02:00:00+00:00,1.107220,1.109909,1.101843,1.109909,loss,-1.000
Big Shadow,long,2020-02-11T10:00:00+00:00,2020-02-11T15:00:00+00:00,1.091420,1.090474,1.093313,1.090474,loss,-1.000
Big Shadow,short,2020-02-26T15:00:00+00:00,2020-02-27T02:00:00+00:00,1.086850,1.090983,1.078585,1.090983,loss,-1.000
