indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Last Kiss,long,2020-10-15T08:00:00+00:00,2020-10-15T14:00:00+00:00,1.302050,1.292130,1.321890,1.292130,loss,-1.000
Last Kiss,long,2020-10-21T15:00:00+00:00,2020-10-28T13:00:00+00:00,1.307150,1.296205,1.329040,1.296205,loss,-1.000
Last Kiss,long,2020-11-18T17:00:00+00:00,2020-11-19T10:00:00+00:00,1.329480,1.321865,1.344710,1.321865,loss,-1.000
Last Kiss,long,2020-11-24T17:00:00+00:00,2020-12-03T15:00:00+00:00,1.332670,1.325795,1.346420,1.346420,win,2.000
Last Kiss,long,2020-12-09T12:00:00+00:00,2020-12-10T00:00:00+00:00,1.344940,1.332650,1.369520,1.332650,loss,-1.000
Last Kiss,long,2020-12-14T13:00:00+00:00,2020-12-14T17:00:00+00:00,1.343640,1.332770,1.365380,1.332770,loss,-1.000
Last Kiss,long,2020-12-28T15:00:00+00:00,2021-02-09T04:00:00+00:00,1.351030,1.338020,1.377050,1.377050,win,2.000
Last Kiss,long,2021-04-07T12:00:00+00:00,2021-04-07T16:00:00+00:00,1.383090,1.374985,1.399300,1.374985,loss,-1.000
Last Kiss,long,2021-06-01T10:00:00+00:00,2021-06-01T23:00:00+00:00,1.423900,1.414975,1.441750,1.414975,loss,-1.000
Last Kiss,long,2021-07-26T15:00:00+00:00,2021-07-29T05:00:00+00:00,1.379730,1.373850,1.391490,1.391490,win,2.000
Last Kiss,short,2021-10-06T17:00:00+00:00,2021-10-07T14:00:00+00:00,1.356040,1.361565,1.344990,1.361565,loss,-1.000
Last Kiss,short,2021-10-27T14:00:00+00:00,2021-10-28T17:00:00+00:00,1.371180,1.378780,1.355980,1.378780,loss,-1.000
Last Kiss,short,2022-01-24T12:00:00+00:00,2022-01-25T14:00:00+00:00,1.352370,1.356650,1.343810,1.343810,win,2.000
Last Kiss,short,2022-04-12T18:00:00+00:00,2022-04-13T19:00:00+00:00,1.303280,1.307625,1.294590,1.307625,loss,-1.000
Last Kiss,short,2022-04-19T16:00:00+00:00,2022-04-20T06:00:00+00:00,1.299640,1.303815,1.291290,1.303815,loss,-1.000
Last Kiss,short,2022-07-01T13:00:00+00:00,2022-07-12T10:00:00+00:00,1.206320,1.217785,1.183390,1.183390,win,2.000
Last Kiss,short,2022-08-31T13:00:00+00:00,2022-09-05T05:00:00+00:00,1.162200,1.170290,1.146020,1.146020,win,2.000
Last Kiss,short,2022-09-07T15:00:00+00:00,2022-09-07T23:00:00+00:00,1.141600,1.153470,1.117860,1.153470,loss,-1.000
Last Kiss,short,2022-09-22T10:00:00+00:00,2022-09-22T11:00:00+00:00,1.121840,1.131105,1.103310,1.131105,loss,-1.000
Last Kiss,short,2022-10-21T15:00:00+00:00,2022-10-21T18:00:00+00:00,1.110260,1.125675,1.079430,1.125675,loss,-1.000
Last Kiss,long,2022-12-12T10:00:00+00:00,2022-12-13T15:00:00+00:00,1.225970,1.217425,1.243060,1.243060,win,2.000
Last Kiss,long,2023-03-20T12:00:00+00:00,2023-03-22T20:00:00+00:00,1.221410,1.216760,1.230710,1.230710,win,2.000
Last Kiss,long,2023-04-20T15:00:00+00:00,2023-04-21T10:00:00+00:00,1.245170,1.239540,1.256430,1.239540,loss,-1.000
Last Kiss,long,2023-04-25T12:00:00+00:00,2023-04-25T15:00:00+00:00,1.247400,1.242190,1.257820,1.242190,loss,-1.000
Last Kiss,long,2023-05-09T17:00:00+00:00,2023-05-11T16:00:00+00:00,1.261040,1.254635,1.273850,1.254635,loss,-1.000
Last Kiss,long,2023-06-01T13:00:00+00:00,2023-06-05T10:00:00+00:00,1.244900,1.239690,1.255320,1.239690,loss,-1.000
Last Kiss,long,2023-08-30T17:00:00+00:00,2023-09-01T17:00:00+00:00,1.274160,1.262005,1.298470,1.262005,loss,-1.000
Last Kiss,short,2023-09-18T17:00:00+00:00,2023-09-21T14:00:00+00:00,1.237310,1.243735,1.224460,1.224460,win,2.000
Last Kiss,short,2023-10-20T11:00:00+00:00,2023-10-20T20:00:00+00:00,1.210280,1.216225,1.198390,1.216225,loss,-1.000
Last Kiss,long,2023-12-14T11:00:00+00:00,2023-12-14T19:00:00+00:00,1.264130,1.256710,1.278970,1.278970,win,2.000
Last Kiss,long,2024-05-07T16:00:00+00:00,2024-05-07T20:00:00+00:00,1.255450,1.251045,1.264260,1.251045,loss,-1.000
Last Kiss,long,2024-06-05T08:00:00+00:00,2024-06-07T16:00:00+00:00,1.277430,1.272080,1.288130,1.272080,loss,-1.000
Last Kiss,long,2024-06-12T14:00:00+00:00,2024-06-12T15:00:00+00:00,1.276190,1.272735,1.283100,1.283100,win,2.000
Last Kiss,long,2024-07-05T11:00:00+00:00,2024-07-08T16:00:00+00:00,1.278030,1.275025,1.284040,1.284040,win,2.000
Last Kiss,long,2024-08-20T11:00:00+00:00,2024-08-21T18:00:00+00:00,1.300370,1.296740,1.307630,1.307630,win,2.000
Last Kiss,short,2025-01-02T12:00:00+00:00,2025-01-06T13:00:00+00:00,1.247950,1.254635,1.234580,1.254635,loss,-1.000
Last Kiss,long,2025-03-05T16:00:00+00:00,2025-03-18T10:00:00+00:00,1.282690,1.273870,1.300330,1.300330,win,2.000
Last Kiss,long,2025-06-12T12:00:00+00:00,2025-06-17T17:00:00+00:00,1.356690,1.350660,1.368750,1.350660,loss,-1.000
Last Kiss,long,2025-07-23T10:00:00+00:00,2025-07-25T10:00:00+00:00,1.353320,1.347735,1.364490,1.347735,loss,-1.000
Last Kiss,long,2025-09-01T16:00:00+00:00,2025-09-02T10:00:00+00:00,1.353700,1.350635,1.359830,1.350635,loss,-1.000
Last Kiss,short,2025-11-12T11:00:00+00:00,2025-11-13T10:00:00+00:00,1.311580,1.316280,1.302180,1.316280,loss,-1.000
Last Kiss,long,2025-12-16T17:00:00+00:00,2025-12-17T06:00:00+00:00,1.344570,1.339570,1.354570,1.339570,loss,-1.000
Big Shadow,short,2020-01-07T08:00:00+00:00,2020-01-07T10:00:00+00:00,1.315280,1.317309,1.311221,1.317309,loss,-1.000
Big Shadow,long,2020-01-21T06:00:00+00:00,2020-01-21T09:00:00+00:00,1.301390,1.300321,1.303528,1.300321,loss,-1.000
Big Shadow,long,2020-01-22T12:00:00+00:00,2020-01-22T13:00:00+00:00,1.306290,1.304031,1.310808,1.306290,be,0.000
Big Shadow,long,2020-01-23T09:00:00+00:00,2020-01-23T14:00:00+00:00,1.313730,1.311806,1.317578,1.311806,loss,-1.000
Big Shadow,long,2020-01-31T10:00:00+00:00,2020-01-31T18:00:00+00:00,1.312840,1.309681,1.319159,1.319159,win,2.000
Big Shadow,short,2020-02-04T09:00:00+00:00,2020-02-04T09:00:00+00:00,1.299480,1.302081,1.294277,1.299480,be,0.000
Big Shadow,long,2020-02-05T10:00:00+00:00,2020-02-05T15:00:00+00:00,1.303740,1.300773,1.309674,1.300773,loss,-1.000
Big Shadow,short,2020-02-06T10:00:00+00:00,2020-02-06T11:00:00+00:00,1.298020,1.299720,1.294619,1.299720,loss,-1.000
Big Shadow,short,2020-02-07T10:00:00+00:00,2020-02-07T14:00:00+00:00,1.293190,1.294546,1.290478,1.294546,loss,-1.000
Big Shadow,long,2020-02-10T07:00:00+00:00,2020-02-10T09:00:00+00:00,1.290540,1.289147,1.293325,1.289147,loss,-1.000
Big Shadow,long,2020-02-13T10:00:00+00:00,2020-02-13T14:00:00+00:00,1.297850,1.294942,1.303666,1.303666,win,2.000
Big Shadow,short,2020-02-26T11:00:00+00:00,2020-02-26T13:00:00+00:00,1.297120,1.299277,1.292807,1.292807,win,2.000
Big Shadow,short,2020-03-02T10:00:00+00:00,2020-03-02T19:00:00+00:00,1.280520,1.284526,1.272507,1.280520,be,0.000
Big Shadow,long,2020-03-06T17:00:00+00:00,2020-03-06T19:00:00+00:00,1.303160,1.299153,1.311174,1.299153,loss,-1.000
Big Shadow,short,2020-03-10T18:00:00+00:00,2020-03-12T10:00:00+00:00,1.293110,1.300897,1.277536,1.277536,win,2.000
Big Shadow,short,2020-03-17T13:00:00+00:00,2020-03-18T13:00:00+00:00,1.209890,1.217624,1.194423,1.194423,win,2.000
Big Shadow,long,2020-03-26T10:00:00+00:00,2020-03-26T18:00:00+00:00,1.193640,1.181617,1.217685,1.217685,win,2.000
Big Shadow,short,2020-03-30T10:00:00+00:00,2020-03-30T14:00:00+00:00,1.235660,1.242931,1.221117,1.242931,loss,-1.000
Big Shadow,long,2020-04-02T13:00:00+00:00,2020-04-02T15:00:00+00:00,1.246230,1.240622,1.257445,1.240622,loss,-1.000
Big Shadow,short,2020-04-15T09:00:00+00:00,2020-04-15T10:00:00+00:00,1.258870,1.260777,1.255055,1.255055,win,2.000
Big Shadow,long,2020-04-29T16:00:00+00:00,2020-04-30T12:00:00+00:00,1.242510,1.239094,1.249342,1.249342,win,2.000
Big Shadow,long,2020-05-06T10:00:00+00:00,2020-05-06T11:00:00+00:00,1.243820,1.242154,1.247153,1.242154,loss,-1.000
Big Shadow,long,2020-05-07T10:00:00+00:00,2020-05-07T15:00:00+00:00,1.238360,1.232727,1.249625,1.232727,loss,-1.000
Big Shadow,short,2020-05-11T11:00:00+00:00,2020-05-11T14:00:00+00:00,1.238040,1.242319,1.229481,1.229481,win,2.000
Big Shadow,short,2020-05-14T05:00:00+00:00,2020-05-15T17:00:00+00:00,1.220340,1.223996,1.213027,1.213027,win,2.000
Big Shadow,long,2020-05-21T12:00:00+00:00,2020-05-22T10:00:00+00:00,1.222480,1.218728,1.229985,1.218728,loss,-1.000
Big Shadow,long,2020-05-26T04:00:00+00:00,2020-05-26T10:00:00+00:00,1.221850,1.219606,1.226339,1.226339,win,2.000
Big Shadow,long,2020-05-27T13:00:00+00:00,2020-05-27T15:00:00+00:00,1.233910,1.227947,1.245836,1.227947,loss,-1.000
Big Shadow,short,2020-05-27T18:00:00+00:00,2020-05-28T09:00:00+00:00,1.221050,1.227692,1.207765,1.227692,loss,-1.000
Big Shadow,long,2020-06-01T18:00:00+00:00,2020-06-04T18:00:00+00:00,1.248420,1.241514,1.262233,1.262233,win,2.000
Big Shadow,long,2020-06-10T14:00:00+00:00,2020-06-10T21:00:00+00:00,1.277120,1.272633,1.286095,1.272633,loss,-1.000
Big Shadow,short,2020-06-18T15:00:00+00:00,2020-06-19T17:00:00+00:00,1.248310,1.255028,1.234874,1.234874,win,2.000
Big Shadow,short,2020-06-25T15:00:00+00:00,2020-06-26T17:00:00+00:00,1.241330,1.245714,1.232561,1.232561,win,2.000
Big Shadow,short,2020-06-29T18:00:00+00:00,2020-06-30T01:00:00+00:00,1.226470,1.230549,1.218312,1.230549,loss,-1.000
Big Shadow,short,2020-06-30T09:00:00+00:00,2020-06-30T13:00:00+00:00,1.228480,1.230201,1.225038,1.228480,be,0.000
Big Shadow,short,2020-07-02T16:00:00+00:00,2020-07-07T15:00:00+00:00,1.248770,1.253058,1.240193,1.253058,loss,-1.000
Big Shadow,long,2020-07-09T07:00:00+00:00,2020-07-09T17:00:00+00:00,1.262880,1.260622,1.267397,1.262880,be,0.000
Big Shadow,short,2020-07-10T15:00:00+00:00,2020-07-10T16:00:00+00:00,1.259690,1.262607,1.253856,1.262607,loss,-1.000
Big Shadow,short,2020-07-15T17:00:00+00:00,2020-07-16T18:00:00+00:00,1.260340,1.265023,1.250974,1.260340,be,0.000
Big Shadow,short,2020-07-17T09:00:00+00:00,2020-07-17T15:00:00+00:00,1.255110,1.256828,1.251675,1.255110,be,0.000
Big Shadow,long,2020-07-21T09:00:00+00:00,2020-07-21T17:00:00+00:00,1.267920,1.265338,1.273084,1.273084,win,2.000
Big Shadow,short,2020-07-22T10:00:00+00:00,2020-07-22T10:00:00+00:00,1.270920,1.272976,1.266808,1.270920,be,0.000
Big Shadow,long,2020-07-23T17:00:00+00:00,2020-07-27T04:00:00+00:00,1.272310,1.267164,1.282601,1.282601,win,2.000
Big Shadow,long,2020-07-27T14:00:00+00:00,2020-07-28T10:00:00+00:00,1.287220,1.284063,1.293534,1.284063,loss,-1.000
Big Shadow,long,2020-08-05T10:00:00+00:00,2020-08-05T11:00:00+00:00,1.309490,1.306548,1.315375,1.306548,loss,-1.000
