indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Last Kiss,short,2020-11-05T17:00:00+00:00,2020-12-10T16:00:00+00:00,1.304040,1.319700,1.272720,1.272720,win,2.000
Last Kiss,short,2021-01-14T10:00:00+00:00,2021-01-15T17:00:00+00:00,1.267950,1.274045,1.255760,1.274045,loss,-1.000
Last Kiss,short,2021-04-05T17:00:00+00:00,2021-04-06T14:00:00+00:00,1.251780,1.257240,1.240860,1.257240,loss,-1.000
Last Kiss,short,2021-04-19T11:00:00+00:00,2021-04-19T17:00:00+00:00,1.247930,1.252430,1.238930,1.252430,loss,-1.000
Last Kiss,short,2021-05-06T16:00:00+00:00,2021-05-10T00:00:00+00:00,1.223020,1.228625,1.211810,1.211810,win,2.000
Last Kiss,short,2021-06-01T17:00:00+00:00,2021-06-01T20:00:00+00:00,1.201460,1.205965,1.192450,1.205965,loss,-1.000
Last Kiss,short,2021-08-05T17:00:00+00:00,2021-08-06T17:00:00+00:00,1.249320,1.257175,1.233610,1.257175,loss,-1.000
Last Kiss,long,2022-02-15T17:00:00+00:00,2022-02-16T10:00:00+00:00,1.277330,1.268150,1.295690,1.268150,loss,-1.000
Last Kiss,short,2022-03-28T10:00:00+00:00,2022-03-28T16:00:00+00:00,1.248950,1.255710,1.235430,1.255710,loss,-1.000
Last Kiss,short,2022-04-05T12:00:00+00:00,2022-04-06T04:00:00+00:00,1.245150,1.249805,1.235840,1.249805,loss,-1.000
Last Kiss,short,2022-06-06T16:00:00+00:00,2022-06-06T18:00:00+00:00,1.254330,1.257280,1.248430,1.257280,loss,-1.000
Last Kiss,long,2022-09-23T17:00:00+00:00,2022-09-26T19:00:00+00:00,1.357730,1.347965,1.377260,1.377260,win,2.000
Last Kiss,long,2022-11-22T16:00:00+00:00,2022-11-24T17:00:00+00:00,1.340970,1.331790,1.359330,1.331790,loss,-1.000
Last Kiss,long,2023-02-24T13:00:00+00:00,2023-02-24T16:00:00+00:00,1.357510,1.354065,1.364400,1.364400,win,2.000
Last Kiss,long,2023-03-07T17:00:00+00:00,2023-03-08T17:00:00+00:00,1.367040,1.360935,1.379250,1.379250,win,2.000
Last Kiss,long,2023-03-24T12:00:00+00:00,2023-03-27T16:00:00+00:00,1.377610,1.369130,1.394570,1.369130,loss,-1.000
Last Kiss,long,2023-05-02T17:00:00+00:00,2023-05-04T19:00:00+00:00,1.361500,1.355615,1.373270,1.355615,loss,-1.000
Last Kiss,short,2023-05-16T11:00:00+00:00,2023-05-17T10:00:00+00:00,1.345200,1.352190,1.331220,1.352190,loss,-1.000
Last Kiss,long,2023-05-24T13:00:00+00:00,2023-06-01T18:00:00+00:00,1.354530,1.346945,1.369700,1.346945,loss,-1.000
Last Kiss,short,2023-06-07T17:00:00+00:00,2023-06-09T17:00:00+00:00,1.338400,1.341955,1.331290,1.331290,win,2.000
Last Kiss,short,2023-07-25T10:00:00+00:00,2023-07-25T15:00:00+00:00,1.315070,1.319025,1.307160,1.319025,loss,-1.000
Last Kiss,long,2023-08-23T15:00:00+00:00,2023-08-23T19:00:00+00:00,1.357910,1.353385,1.366960,1.353385,loss,-1.000
Last Kiss,long,2023-09-07T17:00:00+00:00,2023-09-08T15:00:00+00:00,1.367510,1.363495,1.375540,1.363495,loss,-1.000
Last Kiss,long,2023-12-07T17:00:00+00:00,2023-12-08T03:00:00+00:00,1.361090,1.357770,1.367730,1.357770,loss,-1.000
Last Kiss,short,2023-12-20T12:00:00+00:00,2023-12-22T16:00:00+00:00,1.332810,1.337045,1.324340,1.324340,win,2.000
Last Kiss,long,2024-05-23T08:00:00+00:00,2024-05-27T16:00:00+00:00,1.368230,1.364570,1.375550,1.364570,loss,-1.000
