indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Last Kiss,short,2020-10-28T12:00:00+00:00,2020-10-29T17:00:00+00:00,104.199000,104.634500,103.328000,104.634500,loss,-1.000
Last Kiss,short,2020-11-19T14:00:00+00:00,2020-11-23T17:00:00+00:00,103.999000,104.350000,103.297000,104.350000,loss,-1.000
Last Kiss,short,2020-12-30T11:00:00+00:00,2021-01-07T12:00:00+00:00,103.275000,103.647500,102.530000,103.647500,loss,-1.000
Last Kiss,short,2021-01-21T11:00:00+00:00,2021-01-22T15:00:00+00:00,103.470000,103.797000,102.816000,103.797000,loss,-1.000
Last Kiss,short,2021-02-22T17:00:00+00:00,2021-02-24T07:00:00+00:00,105.099000,105.539000,104.219000,105.539000,loss,-1.000
Last Kiss,long,2021-05-27T15:00:00+00:00,2021-05-27T18:00:00+00:00,109.255000,108.978500,109.808000,109.808000,win,2.000
Last Kiss,long,2021-06-11T17:00:00+00:00,2021-06-16T21:00:00+00:00,109.737000,109.411000,110.389000,110.389000,win,2.000
Last Kiss,long,2021-07-23T14:00:00+00:00,2021-07-27T10:00:00+00:00,110.485000,110.033500,111.388000,110.033500,loss,-1.000
Last Kiss,long,2021-08-26T15:00:00+00:00,2021-08-30T01:00:00+00:00,110.119000,109.768000,110.821000,109.768000,loss,-1.000
Last Kiss,long,2021-09-17T16:00:00+00:00,2021-09-20T09:00:00+00:00,110.029000,109.801500,110.484000,109.801500,loss,-1.000
Last Kiss,long,2021-11-16T16:00:00+00:00,2021-11-17T19:00:00+00:00,114.434000,114.049500,115.203000,114.049500,loss,-1.000
Last Kiss,long,2021-12-27T09:00:00+00:00,2021-12-29T10:00:00+00:00,114.481000,114.228000,114.987000,114.987000,win,2.000
Last Kiss,long,2022-02-08T17:00:00+00:00,2022-02-10T16:00:00+00:00,115.496000,115.098000,116.292000,116.292000,win,2.000
Last Kiss,long,2022-03-08T11:00:00+00:00,2022-03-11T05:00:00+00:00,115.574000,115.164500,116.393000,116.393000,win,2.000
Last Kiss,long,2022-06-08T11:00:00+00:00,2022-06-14T22:00:00+00:00,133.634000,132.800000,135.302000,135.302000,win,2.000
Last Kiss,long,2022-09-06T09:00:00+00:00,2022-09-07T01:00:00+00:00,141.091000,140.090500,143.092000,143.092000,win,2.000
Last Kiss,long,2022-09-21T17:00:00+00:00,2022-09-22T10:00:00+00:00,144.050000,143.227500,145.695000,145.695000,win,2.000
Last Kiss,long,2022-10-03T16:00:00+00:00,2022-10-04T19:00:00+00:00,144.955000,144.145500,146.574000,144.145500,loss,-1.000
Last Kiss,long,2022-10-07T17:00:00+00:00,2022-10-12T15:00:00+00:00,145.191000,144.451000,146.671000,146.671000,win,2.000
Last Kiss,long,2022-10-18T12:00:00+00:00,2022-10-21T07:00:00+00:00,149.285000,148.730000,150.395000,150.395000,win,2.000
Last Kiss,short,2023-01-12T11:00:00+00:00,2023-01-12T15:00:00+00:00,131.547000,132.295000,130.051000,130.051000,win,2.000
Last Kiss,short,2023-05-11T13:00:00+00:00,2023-05-11T15:00:00+00:00,134.676000,135.035500,133.957000,133.957000,win,2.000
Last Kiss,long,2023-06-29T16:00:00+00:00,2023-07-06T08:00:00+00:00,144.807000,143.880000,146.661000,143.880000,loss,-1.000
