indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
QQE/QMP,long,2020-10-06T15:00:00+00:00,2020-10-06T21:00:00+00:00,1.179570,1.176245,1.186221,1.176245,loss,-1.000
QQE/QMP,long,2020-10-12T16:00:00+00:00,2020-10-13T10:00:00+00:00,1.180920,1.178185,1.186389,1.178185,loss,-1.000
QQE/QMP,long,2020-10-13T12:00:00+00:00,2020-10-13T16:00:00+00:00,1.179310,1.176888,1.184155,1.176888,loss,-1.000
QQE/QMP,long,2020-10-22T11:00:00+00:00,2020-10-22T12:00:00+00:00,1.186090,1.182908,1.192454,1.182908,loss,-1.000
QQE/QMP,long,2020-10-23T11:00:00+00:00,2020-10-27T23:00:00+00:00,1.182820,1.178493,1.191474,1.178493,loss,-1.000
QQE/QMP,long,2020-11-06T10:00:00+00:00,2020-11-09T16:00:00+00:00,1.184020,1.184020,1.190733,1.190733,win,2.000
QQE/QMP,long,2020-11-10T17:00:00+00:00,2020-11-11T12:00:00+00:00,1.181330,1.177891,1.188207,1.177891,loss,-1.000
QQE/QMP,long,2020-12-02T16:00:00+00:00,2020-12-02T23:00:00+00:00,1.206570,1.206570,1.211303,1.211303,win,2.000
QQE/QMP,long,2020-12-04T09:00:00+00:00,2020-12-04T15:00:00+00:00,1.215500,1.215500,1.219342,1.215500,be,0.000
QQE/QMP,long,2020-12-07T13:00:00+00:00,2020-12-07T22:00:00+00:00,1.210830,1.210830,1.218545,1.210830,be,0.000
QQE/QMP,long,2020-12-08T08:00:00+00:00,2020-12-08T10:00:00+00:00,1.211810,1.210351,1.214727,1.210351,loss,-1.000
QQE/QMP,long,2020-12-15T12:00:00+00:00,2020-12-15T14:00:00+00:00,1.215750,1.212850,1.221550,1.212850,loss,-1.000
QQE/QMP,long,2020-12-18T09:00:00+00:00,2020-12-18T16:00:00+00:00,1.225290,1.223104,1.229662,1.223104,loss,-1.000
QQE/QMP,long,2020-12-21T11:00:00+00:00,2020-12-21T12:00:00+00:00,1.221710,1.215380,1.234370,1.215380,loss,-1.000
QQE/QMP,long,2020-12-21T17:00:00+00:00,2020-12-22T16:00:00+00:00,1.220870,1.220870,1.229662,1.220870,be,0.000
QQE/QMP,long,2021-01-05T11:00:00+00:00,2021-01-06T09:00:00+00:00,1.227400,1.227400,1.233215,1.233215,win,2.000
QQE/QMP,long,2021-02-11T08:00:00+00:00,2021-02-11T18:00:00+00:00,1.212630,1.212630,1.215183,1.212630,be,0.000
QQE/QMP,long,2021-02-12T08:00:00+00:00,2021-02-12T09:00:00+00:00,1.213120,1.211407,1.216546,1.211407,loss,-1.000
QQE/QMP,short,2021-03-25T10:00:00+00:00,2021-03-29T18:00:00+00:00,1.180580,1.180580,1.176113,1.176113,win,2.000
QQE/QMP,long,2021-04-09T15:00:00+00:00,2021-04-09T15:00:00+00:00,1.189510,1.187049,1.194433,1.187049,loss,-1.000
QQE/QMP,long,2021-04-12T12:00:00+00:00,2021-04-13T09:00:00+00:00,1.188370,1.188370,1.192980,1.188370,be,0.000
QQE/QMP,long,2021-04-13T11:00:00+00:00,2021-04-14T08:00:00+00:00,1.190350,1.190350,1.196387,1.196387,win,2.000
