indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
QQE/QMP,long,2020-10-12T16:00:00+00:00,2020-10-13T03:00:00+00:00,1.304170,1.304170,1.312122,1.304170,be,0.000
QQE/QMP,long,2020-10-13T12:00:00+00:00,2020-10-13T16:00:00+00:00,1.306200,1.299714,1.319171,1.299714,loss,-1.000
QQE/QMP,long,2020-10-23T11:00:00+00:00,2020-10-23T17:00:00+00:00,1.309020,1.303467,1.320125,1.303467,loss,-1.000
QQE/QMP,long,2020-10-26T12:00:00+00:00,2020-10-28T10:00:00+00:00,1.304890,1.299442,1.315786,1.299442,loss,-1.000
QQE/QMP,long,2020-11-09T14:00:00+00:00,2020-11-12T10:00:00+00:00,1.316830,1.316830,1.332188,1.316830,be,0.000
QQE/QMP,long,2020-11-12T11:00:00+00:00,2020-11-12T14:00:00+00:00,1.318820,1.314826,1.326807,1.314826,loss,-1.000
QQE/QMP,long,2020-11-12T16:00:00+00:00,2020-11-12T22:00:00+00:00,1.317690,1.310746,1.331578,1.310746,loss,-1.000
QQE/QMP,long,2020-11-18T10:00:00+00:00,2020-11-18T21:00:00+00:00,1.327630,1.327630,1.333781,1.327630,be,0.000
QQE/QMP,long,2020-11-19T09:00:00+00:00,2020-11-19T10:00:00+00:00,1.323970,1.321059,1.329791,1.321059,loss,-1.000
QQE/QMP,long,2020-12-04T09:00:00+00:00,2020-12-04T10:00:00+00:00,1.346550,1.342826,1.353999,1.342826,loss,-1.000
QQE/QMP,long,2020-12-04T12:00:00+00:00,2020-12-07T09:00:00+00:00,1.348090,1.339195,1.365879,1.339195,loss,-1.000
QQE/QMP,long,2020-12-18T14:00:00+00:00,2020-12-18T16:00:00+00:00,1.353220,1.348704,1.362252,1.348704,loss,-1.000
QQE/QMP,long,2020-12-28T08:00:00+00:00,2020-12-28T12:00:00+00:00,1.357270,1.353690,1.364430,1.353690,loss,-1.000
QQE/QMP,long,2020-12-31T10:00:00+00:00,2021-01-04T14:00:00+00:00,1.365400,1.365400,1.375033,1.365400,be,0.000
QQE/QMP,long,2021-01-05T13:00:00+00:00,2021-01-06T12:00:00+00:00,1.358560,1.358560,1.366577,1.366577,win,2.000
QQE/QMP,long,2021-01-14T17:00:00+00:00,2021-01-15T10:00:00+00:00,1.365050,1.365050,1.374544,1.365050,be,0.000
QQE/QMP,long,2021-02-08T17:00:00+00:00,2021-02-10T09:00:00+00:00,1.372630,1.372630,1.382742,1.382742,win,2.000
QQE/QMP,long,2021-02-11T16:00:00+00:00,2021-02-11T16:00:00+00:00,1.383630,1.381580,1.387730,1.381580,loss,-1.000
QQE/QMP,long,2021-02-12T15:00:00+00:00,2021-02-15T03:00:00+00:00,1.380450,1.380450,1.388119,1.388119,win,2.000
QQE/QMP,long,2021-02-17T11:00:00+00:00,2021-02-17T15:00:00+00:00,1.389100,1.385383,1.396534,1.385383,loss,-1.000
QQE/QMP,long,2021-02-19T09:00:00+00:00,2021-02-19T14:00:00+00:00,1.397390,1.397390,1.401289,1.401289,win,2.000
QQE/QMP,long,2021-02-22T12:00:00+00:00,2021-02-22T19:00:00+00:00,1.401320,1.401320,1.408273,1.408273,win,2.000
QQE/QMP,long,2021-02-23T12:00:00+00:00,2021-02-24T03:00:00+00:00,1.408870,1.408870,1.416843,1.416843,win,2.000
QQE/QMP,long,2021-03-19T10:00:00+00:00,2021-03-19T14:00:00+00:00,1.394920,1.389386,1.405988,1.389386,loss,-1.000
QQE/QMP,long,2021-04-05T11:00:00+00:00,2021-04-05T16:00:00+00:00,1.383760,1.383760,1.390040,1.390040,win,2.000
QQE/QMP,long,2021-04-07T11:00:00+00:00,2021-04-07T15:00:00+00:00,1.380570,1.375873,1.389965,1.375873,loss,-1.000
QQE/QMP,long,2021-04-21T09:00:00+00:00,2021-04-21T16:00:00+00:00,1.393010,1.390076,1.398878,1.390076,loss,-1.000
