indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
QQE/QMP,short,2020-10-07T16:00:00+00:00,2020-10-08T19:00:00+00:00,1.327480,1.327480,1.321151,1.321151,win,2.000
QQE/QMP,short,2020-10-12T17:00:00+00:00,2020-10-13T05:00:00+00:00,1.311440,1.314027,1.306266,1.314027,loss,-1.000
QQE/QMP,short,2020-10-13T08:00:00+00:00,2020-10-13T16:00:00+00:00,1.312590,1.312590,1.309121,1.312590,be,0.000
QQE/QMP,short,2020-10-14T10:00:00+00:00,2020-10-14T19:00:00+00:00,1.313430,1.315594,1.309102,1.315594,loss,-1.000
QQE/QMP,short,2020-10-22T09:00:00+00:00,2020-10-23T12:00:00+00:00,1.315750,1.315750,1.310946,1.310946,win,2.000
QQE/QMP,short,2020-11-06T10:00:00+00:00,2020-11-09T14:00:00+00:00,1.305970,1.305970,1.296463,1.296463,win,2.000
QQE/QMP,short,2020-11-10T15:00:00+00:00,2020-11-10T22:00:00+00:00,1.302890,1.302890,1.297065,1.302890,be,0.000
QQE/QMP,short,2020-11-12T11:00:00+00:00,2020-11-12T16:00:00+00:00,1.308680,1.311703,1.302634,1.311703,loss,-1.000
QQE/QMP,short,2020-11-26T16:00:00+00:00,2020-11-26T17:00:00+00:00,1.300000,1.301804,1.296392,1.301804,loss,-1.000
QQE/QMP,short,2020-11-30T12:00:00+00:00,2020-11-30T17:00:00+00:00,1.297360,1.297360,1.292909,1.292909,win,2.000
QQE/QMP,short,2020-12-01T08:00:00+00:00,2020-12-01T11:00:00+00:00,1.296710,1.296710,1.293546,1.296710,be,0.000
QQE/QMP,short,2020-12-03T15:00:00+00:00,2020-12-04T15:00:00+00:00,1.290720,1.290720,1.283796,1.283796,win,2.000
QQE/QMP,short,2020-12-04T16:00:00+00:00,2020-12-10T15:00:00+00:00,1.283480,1.283480,1.275163,1.275163,win,2.000
QQE/QMP,short,2021-01-05T12:00:00+00:00,2021-01-05T15:00:00+00:00,1.273730,1.277144,1.266901,1.277144,loss,-1.000
QQE/QMP,short,2021-02-08T17:00:00+00:00,2021-02-11T15:00:00+00:00,1.274790,1.274790,1.266042,1.266042,win,2.000
QQE/QMP,short,2021-02-22T15:00:00+00:00,2021-02-23T16:00:00+00:00,1.262560,1.262560,1.257980,1.262560,be,0.000
QQE/QMP,short,2021-03-12T15:00:00+00:00,2021-03-12T18:00:00+00:00,1.254580,1.254580,1.248384,1.248384,win,2.000
QQE/QMP,short,2021-03-15T11:00:00+00:00,2021-03-15T16:00:00+00:00,1.244600,1.249753,1.234294,1.249753,loss,-1.000
QQE/QMP,short,2021-03-16T12:00:00+00:00,2021-03-16T19:00:00+00:00,1.248510,1.248510,1.244484,1.244484,win,2.000
QQE/QMP,short,2021-04-02T16:00:00+00:00,2021-04-05T01:00:00+00:00,1.254460,1.258703,1.245973,1.258703,loss,-1.000
QQE/QMP,short,2021-04-06T17:00:00+00:00,2021-04-06T21:00:00+00:00,1.254860,1.257706,1.249168,1.257706,loss,-1.000
QQE/QMP,short,2021-04-12T13:00:00+00:00,2021-04-12T17:00:00+00:00,1.254750,1.257031,1.250189,1.257031,loss,-1.000
QQE/QMP,short,2021-04-19T08:00:00+00:00,2021-04-19T11:00:00+00:00,1.250590,1.250590,1.247766,1.247766,win,2.000
QQE/QMP,short,2021-04-27T14:00:00+00:00,2021-04-28T19:00:00+00:00,1.239640,1.239640,1.234177,1.234177,win,2.000
QQE/QMP,short,2021-04-29T15:00:00+00:00,2021-04-29T17:00:00+00:00,1.228410,1.231752,1.221726,1.231752,loss,-1.000
QQE/QMP,short,2021-04-30T12:00:00+00:00,2021-04-30T17:00:00+00:00,1.227460,1.229928,1.222525,1.229928,loss,-1.000
QQE/QMP,short,2021-05-03T17:00:00+00:00,2021-05-04T10:00:00+00:00,1.228810,1.231493,1.223445,1.231493,loss,-1.000
QQE/QMP,short,2021-05-04T17:00:00+00:00,2021-05-04T18:00:00+00:00,1.232140,1.233928,1.228564,1.233928,loss,-1.000
QQE/QMP,short,2021-05-06T13:00:00+00:00,2021-05-06T16:00:00+00:00,1.224680,1.227145,1.219750,1.219750,win,2.000
QQE/QMP,short,2021-05-07T17:00:00+00:00,2021-05-12T16:00:00+00:00,1.215690,1.215690,1.205743,1.205743,win,2.000
QQE/QMP,short,2021-05-13T17:00:00+00:00,2021-05-13T19:00:00+00:00,1.212130,1.216464,1.203462,1.216464,loss,-1.000
QQE/QMP,short,2021-05-17T10:00:00+00:00,2021-05-18T05:00:00+00:00,1.210740,1.210740,1.204221,1.204221,win,2.000
QQE/QMP,short,2021-05-19T09:00:00+00:00,2021-05-19T11:00:00+00:00,1.206550,1.208594,1.202462,1.208594,loss,-1.000
QQE/QMP,short,2021-05-19T17:00:00+00:00,2021-05-19T17:00:00+00:00,1.207520,1.211920,1.198720,1.211920,loss,-1.000
