indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
QQE/QMP,short,2020-10-13T10:00:00+00:00,2020-10-13T10:00:00+00:00,105.369000,105.465786,105.175427,105.465786,loss,-1.000
QQE/QMP,short,2020-10-19T11:00:00+00:00,2020-10-20T03:00:00+00:00,105.390000,105.544001,105.081998,105.544001,loss,-1.000
QQE/QMP,short,2020-10-22T10:00:00+00:00,2020-10-22T12:00:00+00:00,104.575000,104.762624,104.199752,104.762624,loss,-1.000
QQE/QMP,short,2020-10-29T08:00:00+00:00,2020-10-29T11:00:00+00:00,104.393000,104.393000,104.135940,104.135940,win,2.000
QQE/QMP,short,2020-11-19T17:00:00+00:00,2020-11-23T16:00:00+00:00,103.980000,103.980000,103.530308,103.980000,be,0.000
QQE/QMP,short,2020-12-08T12:00:00+00:00,2020-12-08T14:00:00+00:00,103.996000,104.153747,103.680506,104.153747,loss,-1.000
QQE/QMP,short,2020-12-09T11:00:00+00:00,2020-12-09T19:00:00+00:00,104.166000,104.307079,103.883842,104.307079,loss,-1.000
QQE/QMP,short,2020-12-14T10:00:00+00:00,2020-12-14T15:00:00+00:00,103.917000,103.917000,103.604827,103.604827,win,2.000
QQE/QMP,short,2020-12-15T13:00:00+00:00,2020-12-15T22:00:00+00:00,103.975000,103.975000,103.626465,103.626465,win,2.000
QQE/QMP,short,2020-12-18T09:00:00+00:00,2020-12-18T10:00:00+00:00,103.335000,103.538393,102.928214,103.538393,loss,-1.000
QQE/QMP,short,2021-01-06T09:00:00+00:00,2021-01-06T14:00:00+00:00,102.718000,102.884609,102.384782,102.884609,loss,-1.000
QQE/QMP,short,2021-02-10T16:00:00+00:00,2021-02-12T09:00:00+00:00,104.636000,104.913140,104.081720,104.913140,loss,-1.000
QQE/QMP,long,2021-02-17T16:00:00+00:00,2021-02-17T16:00:00+00:00,106.136000,105.868274,106.671451,105.868274,loss,-1.000
QQE/QMP,long,2021-02-18T17:00:00+00:00,2021-02-19T10:00:00+00:00,105.831000,105.493649,106.505703,105.493649,loss,-1.000
QQE/QMP,long,2021-02-25T11:00:00+00:00,2021-02-25T21:00:00+00:00,106.130000,106.130000,106.630854,106.130000,be,0.000
QQE/QMP,long,2021-02-26T12:00:00+00:00,2021-03-04T17:00:00+00:00,106.483000,106.483000,107.602078,107.602078,win,2.000
QQE/QMP,long,2021-03-08T10:00:00+00:00,2021-03-08T18:00:00+00:00,108.501000,108.501000,108.902086,108.902086,win,2.000
QQE/QMP,long,2021-03-19T12:00:00+00:00,2021-03-22T00:00:00+00:00,108.847000,108.499576,109.541848,108.614000,loss,-0.671
