indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Last Kiss,long,2025-07-30T16:00:00+00:00,2025-07-31T23:00:00+00:00,149.115000,148.239500,150.866000,150.866000,win,2.000
Last Kiss,long,2025-08-12T11:00:00+00:00,2025-08-13T07:00:00+00:00,148.487000,147.544000,150.373000,147.544000,loss,-1.000
Last Kiss,long,2025-08-21T14:00:00+00:00,2025-08-22T14:00:00+00:00,147.936000,147.386500,149.035000,147.386500,loss,-1.000
Last Kiss,short,2025-09-09T09:00:00+00:00,2025-09-09T15:00:00+00:00,146.553000,147.344000,144.971000,147.344000,loss,-1.000
Last Kiss,long,2025-11-14T17:00:00+00:00,2025-11-19T09:00:00+00:00,154.666000,154.078500,155.841000,155.841000,win,2.000
Last Kiss,short,2025-12-04T10:00:00+00:00,2025-12-05T16:00:00+00:00,154.796000,155.458000,153.472000,155.458000,loss,-1.000
Last Kiss,long,2025-12-08T15:00:00+00:00,2025-12-11T14:00:00+00:00,155.880000,155.131000,157.378000,155.131000,loss,-1.000
Last Kiss,short,2025-12-16T15:00:00+00:00,2025-12-17T06:00:00+00:00,154.597000,155.443000,152.905000,155.443000,loss,-1.000
Last Kiss,long,2025-12-31T17:00:00+00:00,2026-01-05T18:00:00+00:00,156.850000,156.205000,158.140000,156.205000,loss,-1.000
Big Shadow,short,2025-08-25T14:00:00+00:00,2025-08-25T15:00:00+00:00,147.307000,147.555936,147.097000,147.555936,loss,-1.000
