indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Last Kiss,long,2025-07-30T19:00:00+00:00,2025-08-01T13:00:00+00:00,149.354000,148.468000,151.126000,148.468000,loss,-1.000
Last Kiss,long,2025-08-12T08:00:00+00:00,2025-08-13T07:00:00+00:00,148.448000,147.544000,150.256000,147.544000,loss,-1.000
Last Kiss,long,2025-08-21T14:00:00+00:00,2025-08-22T14:00:00+00:00,147.936000,147.386500,149.035000,147.386500,loss,-1.000
Last Kiss,short,2025-09-09T09:00:00+00:00,2025-09-09T15:00:00+00:00,146.553000,147.344000,144.971000,147.344000,loss,-1.000
Last Kiss,long,2025-10-21T06:00:00+00:00,2025-10-26T22:00:00+00:00,151.524000,150.737000,153.098000,153.098000,win,2.000
Last Kiss,long,2025-11-19T10:00:00+00:00,2025-11-20T01:00:00+00:00,155.962000,155.273000,157.340000,157.340000,win,2.000
Last Kiss,short,2025-12-04T10:00:00+00:00,2025-12-05T16:00:00+00:00,154.796000,155.458000,153.472000,155.458000,loss,-1.000
Last Kiss,long,2025-12-08T15:00:00+00:00,2025-12-11T14:00:00+00:00,155.880000,155.131000,157.378000,155.131000,loss,-1.000
Last Kiss,short,2025-12-16T15:00:00+00:00,2025-12-17T04:00:00+00:00,154.597000,155.077500,153.636000,155.077500,loss,-1.000
Last Kiss,long,2025-12-19T06:00:00+00:00,2025-12-19T10:00:00+00:00,156.093000,155.523000,157.233000,157.233000,win,2.000
Last Kiss,short,2025-12-31T16:00:00+00:00,2026-01-07T05:00:00+00:00,156.711000,157.308500,155.516000,156.386000,win,0.544
Big Shadow,short,2025-08-25T14:00:00+00:00,2025-08-25T15:00:00+00:00,147.307000,147.555936,147.097000,147.555936,loss,-1.000
