Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.08.01 08:37:43,17625610,sell,0.05,USDJPY,150.516,79903464,,,in,0,0,0
2025.08.01 08:40:14,17625621,buy,0.05,EURUSD,1.14263,79903474,,,in,0,0,0
2025.08.01 12:23:04,17627136,sell,0.05,EURUSD,1.14026,79904969,[sl 1.14027],,out,0,0,-10.39
2025.08.01 12:42:32,17627266,buy,0.05,USDJPY,150.505,79905103,,,out,0,0,0.32
2025.08.01 12:46:43,17627322,sell,0.05,EURUSD,1.1397,79905157,,,in,0,0,0
2025.08.01 13:30:06,17627576,buy,0.05,EURUSD,1.14084,79905413,,,in,0,0,0
2025.08.01 14:26:38,17627869,sell,0.05,USDJPY,150.286,79905703,,,in,0,0,0
2025.08.01 14:41:44,17627927,sell,0.05,EURUSD,1.14121,79905762,,,out,0,0,1.62
2025.08.01 15:25:55,17628187,buy,0.05,EURUSD,1.13965,79906026,,,out,0,0,0.22
2025.08.01 15:30:01,17628273,sell,0.05,USDJPY,150.071,79906106,,,in,0,0,0
2025.08.01 15:30:10,17628323,buy,0.05,USDJPY,150.089,79906155,,,out,0,0,5.74
2025.08.01 15:30:19,17628346,buy,0.05,EURUSD,1.14385,79906178,,,in,0,0,0
2025.08.01 15:31:11,17628481,sell,0.05,USDJPY,149.722,79906309,,,in,0,0,0
2025.08.01 15:32:05,17628594,buy,0.05,EURUSD,1.14881,79906423,,,in,0,0,0
2025.08.01 15:33:13,17628705,buy,0.05,USDJPY,149.483,79906533,,,out,0,0,6.96
2025.08.01 15:33:16,17628709,buy,0.05,USDJPY,149.399,79906537,,,out,0,0,19.55
2025.08.01 15:33:20,17628713,sell,0.05,EURUSD,1.15011,79906541,,,out,0,0,27.21
2025.08.01 15:33:23,17628718,sell,0.05,EURUSD,1.15021,79906546,,,out,0,0,6.09
2025.08.01 15:33:58,17628785,sell,0.05,USDJPY,149.412,79906610,,,in,0,0,0
2025.08.01 15:34:19,17628810,buy,0.05,EURUSD,1.15117,79906635,,,in,0,0,0
2025.08.01 15:35:43,17628902,buy,0.05,USDJPY,149.277,79906726,,,out,0,0,3.93
2025.08.01 15:35:58,17628912,sell,0.05,EURUSD,1.15116,79906736,,,out,0,0,-0.04
2025.08.01 18:12:53,17632866,sell,0.05,EURUSD,1.15513,79910726,,,in,0,0,0
2025.08.01 19:52:15,17633771,buy,0.05,EURUSD,1.15443,79911642,,,out,0,0,3.03
2025.08.01 20:35:37,17634181,sell,0.05,EURUSD,1.15218,79912051,,,in,0,0,0
2025.08.01 20:36:41,17634188,buy,0.05,USDJPY,147.941,79912058,,,in,0,0,0
2025.08.01 23:29:06,17635728,buy,0.05,EURUSD,1.15888,79913592,,,out,0,0,-28.91
2025.08.04 01:03:10,17636019,sell,0.05,USDJPY,147.066,79913875,[sl 147.067],,out,0,0.35,-25.65
2025.08.04 03:35:31,17636357,buy,0.05,USDJPY,147.602,79914225,,,in,0,0,0
2025.08.04 08:04:42,17636922,sell,0.05,USDJPY,147.681,79914803,,,out,0,0,2.31
2025.08.04 10:04:28,17637532,buy,0.05,USDJPY,147.734,79915432,,,in,0,0,0
2025.08.04 10:08:03,17637578,sell,0.05,EURUSD,1.15653,79915477,,,in,0,0,0
2025.08.04 14:14:40,17639455,sell,0.05,USDJPY,147.494,79917376,[sl 147.494],,out,0,0,-7.02
2025.08.04 14:34:36,17639634,buy,0.05,USDJPY,147.558,79917558,,,in,0,0,0
