Дата,Символ,Тип,Лот,Суап,Печалба,,Месец,Начално салдо,Цел,Разлика,Изпълнена
03/01/2025 11:37:15,EURUSD,sell,0.03,0.00, 2.39,,Януари 2025,1103,1280,177,FALSE
03/01/2025 11:56:20,GBPCHF,buy,0.03,0.00, 0.16,,Февруари 2025,1280,1546,267,FALSE
03/01/2025 16:08:34,EURUSD,sell,0.04,0.00,- 3.69,,Март 2025,1546,1552,5,FALSE
03/01/2025 17:22:49,AUDUSD,buy,0.03,0.00, 0.70,,Април 2025,1552,2172,621,FALSE
03/01/2025 17:28:51,EURGBP,sell,0.03,0.00,- 2.32,,Май 2025,2172,3041,869,FALSE
03/01/2025 17:36:12,AUDUSD,buy,0.04,0.00, 5.37,,Юни 2025,3041,4258,1216,FALSE
03/01/2025 22:12:38,GBPCHF,buy,0.04,0.00,- 11.79,,Юли 2025,4258,5961,1703,FALSE
06/01/2025 04:10:22,GBPCHF,sell,0.04, 0.35, 8.57,,Август 2025,5961,8345,2384,FALSE
06/01/2025 13:30:32,GBPCHF,sell,0.04,0.00, 0.55,,Септември 2025,8345,11683,3338,FALSE
06/01/2025 14:41:28,EURJPY,sell,0.04, 0.21, 28.69,,Октомври 2025,11683,16356,4673,FALSE
07/01/2025 17:20:00,EURUSD,buy,0.04,0.00, 11.45,,Ноември 2025,16356,22898,6542,FALSE
08/01/2025 10:09:09,GBPUSD,buy,0.04,- 0.24, 2.79,,Декември 2025,22898,32057,9159,FALSE
09/01/2025 10:19:25,EURUSD,buy,0.04, 0.41, 5.01,,,,,,
10/01/2025 15:30:22,EURUSD,buy,0.04, 0.57, 2.53,,,,,,
10/01/2025 15:30:27,EURUSD,buy,0.04,0.00, 22.25,,Месец,Начално салдо,Цел,Разлика,Изпълнена
10/01/2025 15:30:28,EURUSD,buy,0.04, 0.41, 49.18,,Януари 2025,1103,1280,177,FALSE
10/01/2025 15:56:54,EURUSD,buy,0.04, 0.49, 38.45,,Февруари 2025,1280,1546,267,FALSE
10/01/2025 16:07:34,USDJPY,sell,0.02,0.00, 8.88,,Март 2025,1546,1552,5,FALSE
10/01/2025 17:16:58,EURUSD,buy,0.02,0.00, 0.16,,Април 2025,1552,2017,465,FALSE
10/01/2025 16:07:34,USDJPY,sell,0.03, 1.69, 5.51,,Май 2025,2017,2622,605,FALSE
17/01/2025 16:21:58,EURUSD,buy,0.04, 0.41, 7.25,,Юни 2025,2622,3409,787,FALSE
20/01/2025 15:42:00,EURJPY,sell,0.04, 1.68, 2.08,,Юли 2025,3409,4431,1023,FALSE
21/01/2025 12:08:06,EURJPY,sell,0.04, 2.72,- 51.07,,Август 2025,4431,5761,1329,FALSE
21/01/2025 12:20:26,USDJPY,sell,0.04, 0.33, 5.98,,Септември 2025,5761,7489,1728,FALSE
22/01/2025 20:05:36,EURJPY,sell,0.04, 2.31, 7.63,,Октомври 2025,7489,9736,2247,FALSE
23/01/2025 11:54:11,EURUSD,buy,0.03,0.00,- 5.47,,Ноември 2025,9736,12657,2921,FALSE
28/01/2025 10:35:08,EURUSD,buy,0.04, 0.16, 13.92,,Декември 2025,12657,16454,3797,FALSE
28/01/2025 15:36:17,GBPCAD,buy,0.04,0.00, 2.74,,,,,,
28/01/2025 15:39:04,EURGBP,buy,0.04,0.00,- 3.72,,,,,,
28/01/2025 15:46:19,EURJPY,buy,0.04,0.00,- 6.42,,Месец,Начално салдо,Изпълнение,Разлика,Изпълнена
28/01/2025 16:35:51,GBPCAD,buy,0.04,0.00, 2.56,,Януари 2025,1103,1280,177,16.00%
28/01/2025 16:40:27,GBPCHF,buy,0.04,0.00, 3.39,,Февруари 2025,1280,1557,278,21.71%
28/01/2025 17:31:09,AUDUSD,buy,0.04,0.00,- 4.02,,Март 2025,1557,1550,-7,-0.46%
28/01/2025 18:09:39,EURGBP,buy,0.04,0.00, 1.00,,Април 2025,1550,1186,-364,-23.48%
28/01/2025 20:58:15,USDCAD,sell,0.04,0.00, 0.21,,Май 2025,1186,1186,,0.00%
28/01/2025 21:31:29,EURUSD,buy,0.04,0.00, 0.54,,Юни 2025,1186,1186,,0.00%
29/01/2025 02:30:07,AUDUSD,buy,0.04,- 0.08, 4.30,,Юли 2025,1186,1186,,0.00%
29/01/2025 05:57:34,EURUSD,buy,0.04,0.00,- 4.60,,Август 2025,1186,1186,,0.00%
29/01/2025 09:51:45,USDCAD,sell,0.04, 0.02, 3.22,,Септември 2025,1186,1186,,0.00%
29/01/2025 13:39:49,AUDUSD,sell,0.03,0.00,- 1.50,,Октомври 2025,1186,1186,,0.00%
29/01/2025 16:10:27,AUDUSD,buy,0.04,0.00, 2.42,,Ноември 2025,1186,1186,,0.00%
29/01/2025 16:10:40,EURUSD,buy,0.04,0.00, 4.31,,Декември 2025,1186,1186,,0.00%
29/01/2025 17:20:37,GBPUSD,sell,0.04,0.00, 3.31,,,,,,
29/01/2025 17:57:53,EURGBP,buy,0.04,0.00, 0.43,,,,,,
29/01/2025 18:29:30,EURCHF,buy,0.04,0.00,- 11.77,,,,,,
29/01/2025 20:45:29,EURGBP,buy,0.04,0.00, 2.15,,,,,,
29/01/2025 21:32:37,EURUSD,buy,0.04,0.00, 6.34,,,,,,
30/01/2025 10:08:48,GBPUSD,buy,0.04,- 0.37,- 22.84,,,,,,
30/01/2025 22:41:35,EURUSD,buy,0.04,0.00, 3.27,,,,,,
31/01/2025 11:38:24,EURUSD,buy,0.04, 0.32, 6.36,,,,,,
31/01/2025 12:46:09,EURJPY,sell,0.04,0.00, 0.75,,,,,,
31/01/2025 13:18:00,AUDUSD,buy,0.04,0.00, 0.12,,,,,,
31/01/2025 15:00:48,EURUSD,sell,0.04,0.00, 0.54,,,,,,
31/01/2025 16:12:14,GBPCAD,sell,0.04,0.00,- 0.05,,,,,,
31/01/2025 16:16:44,GBPCAD,sell,0.04,0.00, 3.29,,,,,,
31/01/2025 16:19:47,EURUSD,buy,0.04,0.00, 3.93,,,,,,
31/01/2025 17:14:54,AUDUSD,buy,0.04,0.00,- 3.90,,,,,,
