Месец,Общо сделки,Успешни сделки,Успеваемост (%),Дълги,Общ Баланс,Суап,Среден размер лот,Среден размер на позиция,Дълги позиции (%),Баланс,Промяна в Баланса (%),,Обобщение,
Юни 2024,12,5,41.67%,8,-12.53,0.24,0.03,-2.51,66.67%,549.84,-2.23%,,Депозит:,562.37
Юли 2024,28,10,35.71%,17,-26.98,-0.52,0.04,-2.70,60.71%,522.86,-4.91%,,Печалба:,624.73
Август 2024,,,,,,,,,,522.86,0%,,Суап:,36.29
Септември 2024,10,4,40.00%,5,-13.59,-2.56,0.04,-3.40,50.00%,509.27,-2.60%,,Баланс:,"1,223.39"
Октомври 2024,18,8,44.44%,6,1.66,0.88,0.03,0.21,33.33%,510.93,0.33%,,Общ ръст (%),117.54%
Ноември 2024,132,99,75.00%,74,250.60,-22.32,0.03,2.53,56.06%,761.53,49.05%,,,
Декември 2024,66,56,84.85%,36,342.37,10.32,0.03,6.11,54.55%,"1,103.90",44.96%,,,
Януари 2025,61,47,77.05%,39,176.50,11.39,0.04,3.76,63.93%,"1,280.40",15.99%,,,
Февруари 2025,137,105,76.64%,85,277.74,2.96,0.04,2.65,62.04%,"1,558.14",21.69%,,,
Март 2025,33,21,63.64%,19,-7.13,14.31,0.04,-0.34,57.58%,"1,551.01",-0.46%,,,
Април 2025,276,206,74.64%,164,-363.91,21.59,0.07,-1.77,59.42%,"1,187.10",-23.46%,,,
Май 2025,,,,,,,,,,,,,,
Юни 2025,,,,,,,,,,,,,,
Юли 2025,,,,,,,,,,,,,,
Август 2025,,,,,,,,,,,,,,
Септември 2025,,,,,,,,,,,,,,
Октомври 2025,,,,,,,,,,,,,,
Ноември 2025,,,,,,,,,,,,,,
Декември 2025,,,,,,,,,,,,,,
