Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.07.02 02:47:52,17444764,sell,0.05,USDJPY,143.356,79720417,,,in,0,0,0
2025.07.02 08:53:55,17445656,buy,0.05,USDJPY,143.858,79721334,[sl 143.856],,out,0,0,-14.81
2025.07.07 13:09:04,17467640,sell,0.05,USDJPY,145.456,79743541,,,out,0,4.2,6.15
2025.07.07 15:56:48,17468448,sell,0.05,EURUSD,1.17212,79744340,,,in,0,0,0
2025.07.07 21:01:54,17471210,buy,0.05,EURUSD,1.17072,79747100,,,out,0,0,5.98
2025.07.08 12:09:25,17474526,sell,0.05,EURUSD,1.17477,79750453,,,in,0,0,0
2025.07.08 16:36:44,17476237,buy,0.05,EURUSD,1.16971,79752167,,,out,0,0,21.63
2025.07.08 17:40:17,17477029,sell,0.05,EURUSD,1.16896,79752964,,,in,0,0,0
2025.07.08 18:18:57,17477548,buy,0.05,EURUSD,1.17069,79753491,,,in,0,0,0
2025.07.08 19:56:07,17478237,sell,0.05,EURUSD,1.16962,79754191,,,out,0,0,-4.57
2025.07.09 05:01:07,17479816,buy,0.05,USDJPY,146.904,79755783,,,in,0,0,0
2025.07.09 12:26:31,17481602,sell,0.05,USDJPY,146.543,79757597,,,in,0,0,0
2025.07.09 14:38:27,17482371,buy,0.05,USDJPY,146.732,79758354,[sl 146.724],,out,0,0,-5.5
2025.07.09 16:12:08,17483269,sell,0.05,USDJPY,146.397,79759251,[sl 146.397],,out,0,0,-14.78
2025.07.10 01:02:45,17487337,sell,0.05,USDJPY,146.274,79763312,,,in,0,0,0
2025.07.10 13:07:16,17490592,buy,0.05,USDJPY,146.208,79766638,,,out,0,0,1.92
2025.07.10 15:31:45,17492508,buy,0.05,USDJPY,146.387,79768556,,,in,0,0,0
2025.07.11 08:28:14,17501632,buy,0.05,EURUSD,1.16818,79777701,,,out,0,0.69,3.34
2025.07.11 08:30:50,17501644,sell,0.05,USDJPY,146.908,79777717,,,out,0,0.35,15.18
2025.07.11 09:46:02,17502003,sell,0.05,EURUSD,1.1683,79777716,,,in,0,0,0
2025.07.11 09:59:47,17502097,buy,0.05,USDJPY,146.932,79778170,,,in,0,0,0
2025.07.11 17:49:56,17506266,sell,0.05,USDJPY,147.297,79782420,,,out,0,0,10.6
2025.07.11 23:28:23,17508326,buy,0.05,EURUSD,1.1682,79784514,,,out,0,0,0.43
2025.07.14 04:34:47,17509364,buy,0.05,USDJPY,147.023,79785542,,,in,0,0,0
2025.07.14 08:11:02,17509833,sell,0.05,USDJPY,147.336,79786042,,,out,0,0,9.1
2025.07.14 10:46:21,17510928,sell,0.05,USDJPY,147.24,79787153,,,in,0,0,0
2025.07.14 10:53:10,17511004,buy,0.05,USDJPY,147.361,79787227,[sl 147.360],,out,0,0,-3.51
2025.07.14 11:01:44,17511099,buy,0.05,USDJPY,147.386,79787323,,,in,0,0,0
2025.07.14 12:08:46,17511511,sell,0.05,EURUSD,1.16809,79787744,,,in,0,0,0
2025.07.14 19:30:22,17515361,buy,0.05,EURUSD,1.16635,79791620,,,out,0,0,7.46
2025.07.14 19:30:27,17515362,sell,0.05,USDJPY,147.711,79791621,,,out,0,0,9.43
2025.07.15 06:42:14,17516804,buy,0.05,USDJPY,147.657,79793095,,,in,0,0,0
2025.07.15 10:04:27,17517511,sell,0.05,EURUSD,1.16742,79793838,,,in,0,0,0
2025.07.15 10:32:36,17517760,buy,0.05,EURUSD,1.16903,79794089,[sl 1.16903],,out,0,0,-6.89
2025.07.15 10:58:33,17517994,sell,0.05,USDJPY,147.706,79794327,,,out,0,0,1.42
2025.07.15 11:25:42,17518157,sell,0.05,USDJPY,147.681,79794492,,,in,0,0,0
2025.07.15 11:34:53,17518224,sell,0.05,EURUSD,1.16853,79794559,,,in,0,0,0
2025.07.15 14:10:56,17519044,buy,0.05,USDJPY,147.833,79795367,[sl 147.832],,out,0,0,-4.4
2025.07.15 14:25:06,17519138,buy,0.05,USDJPY,147.91,79795461,,,in,0,0,0
2025.07.15 18:37:28,17523435,sell,0.05,USDJPY,148.958,79799800,,,out,0,0,30.32
