Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.06.02 03:15:44,17225593,buy,0.03,EURUSD,1.13708,79499712,,,in,0,0,0
2025.06.02 09:15:07,17226682,sell,0.05,USDJPY,143.299,79500836,,,in,0,0,0
2025.06.02 09:38:15,17226964,sell,0.05,USDJPY,143.152,79501116,,,in,0,0,0
2025.06.02 09:38:31,17226971,buy,0.03,USDJPY,143.163,79501123,,,out,0,-0.49,7.17
2025.06.02 09:39:27,17226979,sell,0.03,EURUSD,1.13989,79501131,,,out,0,-0.26,4
2025.06.02 09:39:35,17226981,buy,0.05,EURUSD,1.13989,79501133,,,in,0,0,0
2025.06.02 09:46:01,17227078,buy,0.05,USDJPY,143.174,79501227,,,out,0,0,3.83
2025.06.02 09:46:08,17227082,sell,0.03,EURUSD,1.14035,79501231,,,out,0,0,8.6
2025.06.02 10:20:15,17227553,sell,0.05,EURUSD,1.14161,79501710,[tp 1.14160],,out,0,0,7.53
2025.06.02 10:20:15,17227554,sell,0.07,USDJPY,143.073,79501711,[so 48.06%/384.77/800.62],,out,0,10.18,-218.8
2025.06.02 10:26:55,17227649,buy,0.05,EURUSD,1.14192,79501803,,,in,0,0,0
2025.06.02 10:27:17,17227653,sell,0.05,USDJPY,143.042,79501807,,,in,0,0,0
2025.06.02 10:35:35,17227731,buy,0.07,EURUSD,1.14177,79501883,,,in,0,0,0
2025.06.02 10:35:36,17227733,buy,0.07,EURUSD,1.14177,79501885,,,in,0,0,0
2025.06.02 11:09:58,17228183,buy,0.05,USDJPY,142.906,79502336,,,out,0,0,7.54
2025.06.02 11:10:01,17228185,buy,0.05,USDJPY,142.906,79502338,,,out,0,0,4.17
2025.06.02 11:10:23,17228188,sell,0.07,EURUSD,1.14224,79502341,,,out,0,0,2.88
2025.06.02 11:11:07,17228192,sell,0.07,EURUSD,1.14213,79502345,,,out,0,0,2.21
2025.06.02 11:11:50,17228202,sell,0.07,USDJPY,142.885,79502355,,,in,0,0,0
2025.06.02 11:27:21,17228341,buy,0.07,EURUSD,1.14142,79502364,,,in,0,0,0
2025.06.02 12:00:49,17228512,sell,0.07,USDJPY,142.9,79502670,,,in,0,0,0
2025.06.02 12:35:56,17229067,sell,0.05,EURUSD,1.14303,79503200,,,out,0,0,4.86
2025.06.02 12:43:47,17229121,sell,0.07,EURUSD,1.1431,79503253,,,out,0,0,10.29
2025.06.02 12:44:11,17229122,buy,0.07,EURUSD,1.14319,79503254,,,in,0,0,0
2025.06.02 12:54:35,17229201,buy,0.07,USDJPY,142.898,79503333,,,out,0,0,0.09
2025.06.02 13:27:03,17229429,buy,0.07,EURUSD,1.14263,79503563,,,in,0,0,0
2025.06.02 13:27:28,17229430,sell,0.07,USDJPY,142.753,79503564,,,in,0,0,0
2025.06.02 14:43:05,17230057,buy,0.07,USDJPY,142.707,79504193,,,out,0,0,7.65
2025.06.02 16:25:40,17230876,sell,0.07,EURUSD,1.14073,79505018,[sl 1.14074],,out,0,0,-15.1
2025.06.02 16:25:50,17230909,sell,0.07,EURUSD,1.14057,79505051,[sl 1.14057],,out,0,0,-12.64
2025.06.02 16:39:49,17231137,buy,0.07,USDJPY,143.052,79505283,,,out,0,0,-12.83
2025.06.02 16:40:30,17231149,sell,0.07,USDJPY,142.996,79505296,,,in,0,0,0
2025.06.02 16:43:10,17231189,buy,0.07,EURUSD,1.14133,79505336,,,in,0,0,0
2025.06.02 17:00:25,17231604,buy,0.07,EURUSD,1.143,79505751,,,in,0,0,0
2025.06.02 17:01:26,17231664,sell,0.07,USDJPY,142.679,79505811,,,in,0,0,0
2025.06.02 17:08:45,17231886,sell,0.07,EURUSD,1.14381,79506036,,,out,0,0,4.96
