Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.09.02 09:25:38,17834030,sell,0.05,USDJPY,148.032,80115170,,,out,0,2.08,1.07
2025.09.02 11:05:08,17836649,buy,0.05,GBPUSD,1.33892,80117807,[tp 1.33894],,out,0,-0.12,24.34
2025.09.02 17:24:30,17844405,sell,0.05,USDJPY,147.989,80125600,,,in,0,0,0
2025.09.02 17:24:48,17844414,sell,0.05,USDJPY,147.966,80125608,,,in,0,0,0
2025.09.02 18:23:43,17845997,buy,0.05,EURUSD,1.16579,80127228,,,in,0,0,0
2025.09.02 18:24:46,17846008,buy,0.05,GBPUSD,1.33847,80127240,,,in,0,0,0
2025.09.02 20:19:54,17847366,sell,0.05,GBPUSD,1.33879,80128614,,,out,0,0,1.37
2025.09.02 21:06:01,17847992,sell,0.05,EURUSD,1.1639,80129244,[sl 1.16390],,out,0,0,-8.12
2025.09.02 21:09:13,17848047,buy,0.05,USDJPY,148.453,80129299,,,out,0,0,-13.43
2025.09.03 03:44:48,17850092,buy,0.05,GBPUSD,1.3374,80130798,,,in,0,0,0
2025.09.03 10:18:37,17853586,buy,0.05,USDJPY,148.949,80134873,[sl 148.948],,out,0,-0.78,-28.4
2025.09.03 10:18:41,17853591,sell,0.05,GBPUSD,1.33409,80134878,,,out,0,0,-14.24
2025.09.03 10:19:31,17853650,buy,0.05,USDJPY,148.942,80134937,,,in,0,0,0
2025.09.03 10:20:05,17853715,sell,0.05,GBPUSD,1.33331,80135002,,,in,0,0,0
2025.09.03 10:39:51,17854036,sell,0.05,USDJPY,148.779,80135323,,,in,0,0,0
2025.09.03 11:51:58,17855839,buy,0.05,GBPUSD,1.33963,80137142,,,in,0,0,0
2025.09.03 12:17:20,17856455,buy,0.05,USDJPY,148.683,80137768,,,out,0,0,2.77
2025.09.03 12:17:28,17856464,sell,0.05,GBPUSD,1.34065,80137777,,,out,0,0,4.38
2025.09.03 12:43:44,17856993,buy,0.05,GBPUSD,1.34131,80138317,,,in,0,0,0
